"N","High level GO category","Genes"
50,"Localization "," slc22a7b.1  vamp1  KCNV1  SLC7A1  sec61b  slc30a8  atp1b1a  lpp  rab11a  lzts2a  sfxn3  slc24a1  slc18a3a  ankha  vps41  slc5a5  KCNN1  fcho2  slc9a3.2  rab14l  kcnab2a  kcnh6a  tnpo1  slc4a1a  slc25a55a  slc5a8l  slc16a1a  exoc1  tomm40l  apoa4a  slc27a6  slc9a5  slc12a2  gata3  grin2bb  grik1a  rae1  nrp2a  slco2a1  ryk  cltca  fer  slc2a12  slc25a38b  ntrk2b  cog6  ccdc151  slc44a2  pigu"
48,"Cellular response to stimulus "," si:ch73-160i9.1  frrs1l  si:dkey-211g8.6  pdgfra  sufu  nkd3  tns1b  rps19  lzts2a  rgra  jak3  topbp1  kita  TENM3  babam1  plvapb  OPRL1  NPBWR1  afap1  kdr  tnpo1  asb16  si:dkey-260c8.8  EFEMP1  gata3  eif2ak3  rasgrf2a  EPHB3  pi4kaa  nrp2a  ip6k2a  ryk  grb10b  RASSF5  fer  slc2a12  rps6kb1a  phip  lig4  DGKD  ntrk2b  gna14  nyap2a  irs1  rgl3a  RALB  pth2rb  ptger1a"
44,"Signaling "," si:ch73-160i9.1  frrs1l  si:dkey-211g8.6  pdgfra  sufu  nkd3  tns1b  rps19  lzts2a  nlgn2b  rgra  jak3  topbp1  kita  TENM3  plvapb  OPRL1  NPBWR1  afap1  kdr  tnpo1  asb16  EFEMP1  gata3  rasgrf2a  EPHB3  pi4kaa  nrp2a  ip6k2a  ryk  grb10b  RASSF5  fer  rps6kb1a  phip  DGKD  ntrk2b  gna14  nyap2a  irs1  rgl3a  RALB  pth2rb  ptger1a"
43,"Establishment of localization "," slc22a7b.1  vamp1  KCNV1  SLC7A1  sec61b  slc30a8  atp1b1a  rab11a  sfxn3  slc24a1  slc18a3a  ankha  vps41  slc5a5  KCNN1  fcho2  slc9a3.2  rab14l  kcnab2a  kcnh6a  tnpo1  slc4a1a  slc25a55a  slc5a8l  slc16a1a  exoc1  tomm40l  apoa4a  slc27a6  slc9a5  slc12a2  grin2bb  grik1a  rae1  slco2a1  ryk  cltca  slc2a12  slc25a38b  cog6  ccdc151  slc44a2"
33,"Regulation of metabolic process "," mych  rfx5  ago3a  lrrc14b  mterf3  foxe1  tlx3b  myca  pou6f2  nr2e3  nr2f6b  babam1  tbx5a  clocka  myt1a  foxd1  asxl1  shox2  camta1a  ptcd2  fubp3  rfx7a  gata3  six3a  bach1b  fer  foxp4  foxo1a  klf1  nfil3-5  rbfox2  ASCL4  trps1"
32,"Cellular component organization or biogenesis "," mtss1  rad21b  KCNV1  map7d1b  oscp1a  dusp27  znhit1  nlgn2b  si:ch73-61d6.3  si:ch211-203d1.3  rab14l  afap1  ablim2  map1b  mrto4  MARK1  cep135  tomm40l  fhod1  ccdc40  prph  pmela  nrp2a  fer  nek1  anapc4  slc25a46  wdr36  ctnna2  nyap2a  ccdc151  osgn1"
31,"Cellular component organization "," mtss1  rad21b  KCNV1  map7d1b  oscp1a  dusp27  znhit1  nlgn2b  si:ch73-61d6.3  si:ch211-203d1.3  rab14l  afap1  ablim2  map1b  mrto4  MARK1  cep135  tomm40l  fhod1  ccdc40  prph  pmela  nrp2a  fer  nek1  anapc4  slc25a46  ctnna2  nyap2a  ccdc151  osgn1"
26,"Anatomical structure morphogenesis "," phkg1a  lpp  uqcrb  cadm4  rab11a  foxe1  dusp27  lzts2a  nr2e3  tbx5a  lingo2a  kdr  tmem165  skib  slc12a2  gata3  tuba1a  six3a  pi4kaa  nrp2a  ryk  fer  slc2a12  eya4  ctnna2  nyap2a"
15,"Regulation of biological quality "," slc30a8  atp1b1a  rps19  nr2e3  cyp11a2  plvapb  si:ch211-203d1.3  slc9a3.2  kcnh6a  slc4a1a  slc9a5  ryk  fer  slc25a38b  klf1"
14,"Immune system process "," sufu  rps19  jak3  topbp1  kita  clocka  rab14l  slc4a1a  gata3  ing4  fer  slc25a38b  camk4  klf1"
13,"Regulation of response to stimulus "," frrs1l  sufu  nkd3  rps19  lzts2a  topbp1  kita  babam1  afap1  nrp2a  ip6k2a  grb10b  fer"
12,"Immune system development "," sufu  rps19  jak3  topbp1  clocka  slc4a1a  gata3  ing4  fer  slc25a38b  camk4  klf1"
12,"Cellular component biogenesis "," KCNV1  oscp1a  dusp27  si:ch73-61d6.3  si:ch211-203d1.3  mrto4  cep135  fhod1  ccdc40  nek1  wdr36  ccdc151"
12,"Cellular localization "," sec61b  rab11a  vps41  rab14l  kcnh6a  tnpo1  tomm40l  rae1  ryk  cltca  ccdc151  pigu"
11,"Regulation of signaling "," frrs1l  sufu  nkd3  lzts2a  nlgn2b  topbp1  afap1  nrp2a  ip6k2a  grb10b  fer"
11,"Negative regulation of biological process "," ago3a  sufu  nkd3  lrrc14b  lzts2a  si:ch211-203d1.3  tuba1a  ryk  grb10b  ing4  osgn1"
11,"Anatomical structure formation involved in morphogenesis "," phkg1a  uqcrb  cadm4  rab11a  dusp27  tbx5a  lingo2a  kdr  gata3  tuba1a  nrp2a"
10,"System process "," rgra  plvapb  shox2  kcnh6a  nmu  slc2a12  eya4  ccdc151  pde6ha  pigu"
10,"Macromolecule localization "," sec61b  vps41  tnpo1  tomm40l  apoa4a  slc27a6  rae1  cltca  pigu"
10,"Positive regulation of biological process "," lrrc14b  lzts2a  babam1  tbx5a  clocka  gata3  ip6k2a  fer  klf1  osgn1"
9,"Response to chemical "," lzts2a  kita  gata3  nrp2a  cct8  grb10b  slc2a12  phip  irs1"
8,"Response to stress "," rps19  topbp1  babam1  rab14l  si:dkey-260c8.8  eif2ak3  lig4  irs1"
7,"Biological adhesion "," si:dkey-22o22.2  cdhr1a  nlgn2b  gata3  sned1  ctnna2  CDH4"
7,"Growth "," foxe1  tbx5a  gata3  prph  ryk  mgat5  osgn1"
7,"Locomotion "," lpp  lzts2a  gata3  nrp2a  ryk  fer  ntrk2b"
7,"Cell adhesion "," si:dkey-22o22.2  cdhr1a  nlgn2b  gata3  sned1  ctnna2  CDH4"
7,"Cell population proliferation "," ago3a  lrrc14b  foxe1  gata3  ing4  fer  foxo1a"
7,"Cell motility "," lpp  lzts2a  gata3  nrp2a  ryk  fer  ntrk2b"
7,"Localization of cell "," lpp  lzts2a  gata3  nrp2a  ryk  fer  ntrk2b"
6,"Response to external stimulus "," rps19  rgra  rab14l  nrp2a  eya4  pigu"
6,"Response to endogenous stimulus "," lzts2a  gata3  grb10b  slc2a12  phip  irs1"
6,"Developmental growth "," foxe1  tbx5a  gata3  prph  ryk  mgat5"
5,"Behavior "," pogza  chata  lgi1a  nmu  cct8"
5,"Myeloid cell homeostasis "," rps19  slc4a1a  fer  slc25a38b  klf1"
5,"Response to abiotic stimulus "," rgra  clocka  eif2ak3  irs1  pigu"
5,"Cell cycle process "," rad21b  si:dkey-25o16.4  cep135  anapc4  ccdc151"
5,"Regulation of multicellular organismal process "," rps19  shox2  kcnh6a  nmu  gata3"
4,"Catabolic process "," psmb4  lipea  pcyox1  anapc4"
4,"Regulation of localization "," kcnh6a  gata3  ryk  fer"
4,"Regulation of developmental process "," atp1b1a  lrrc14b  rps19  gata3"
3,"Rhythmic process "," clocka  nmu  nfil3-5"
3,"Regulation of immune system process "," rps19  kita  gata3"
3,"Immune response "," rps19  kita  rab14l"
3,"Circadian rhythm "," clocka  nmu  nfil3-5"
3,"Locomotory behavior "," pogza  chata  lgi1a"
3,"Pigmentation "," rab11a  pmela  bnc2"
2,"Protein folding "," cct8  PPIF"
2,"Response to biotic stimulus "," rps19  rab14l"
2,"Regulation of locomotion "," gata3  fer"
2,"Regulation of cellular component biogenesis "," si:ch211-203d1.3  fhod1"
2,"Biological process involved in interspecies interaction between organisms "," rps19  rab14l"
2,"Leukocyte activation "," jak3  gata3"
2,"Detection of stimulus "," rgra  pigu"
2,"Response to other organism "," rps19  rab14l"
2,"Regulation of molecular function "," fer  rgl3a"
1,"Rhythmic behavior "," nmu"
1,"Cell growth "," osgn1"
1,"Regulation of cell adhesion "," gata3"
1,"Methylation "," prmt3"
1,"Regulation of growth "," osgn1"
1,"Taxis "," nrp2a"
1,"Hormone metabolic process "," cyp11a2"
1,"Maintenance of location "," ryk"
1,"Regulation of action potential "," atp1b1a"
