"N","High level GO category","Genes"
11,"Organelle membrane "," sec61b  uqcrb  chst3a  NDUFA7  tomm5  tomm40l  chsy3  cltca  slc25a38b  slc25a46  pigu"
9,"Endomembrane system "," sec61b  ext1b  rab11a  chst3a  rab14l  chsy3  cltca  cog6  pigu"
8,"Extracellular region "," fgf11b  igfbp5b  tshba  apoa4a  sst1.2  INHBB"
7,"Membrane protein complex "," KCNV1  sec61b  atp1b1a  uqcrb  tomm5  cltca  pigu"
6,"Envelope "," uqcrb  NDUFA7  tomm5  tomm40l  slc25a38b  slc25a46"
4,"Supramolecular fiber "," gatad1  map1b  tuba1a  prph"
4,"External encapsulating structure "," fbn2a  EFEMP1  mmp19  prelp"
4,"Extracellular matrix "," fbn2a  EFEMP1  mmp19  prelp"
4,"Ribonucleoprotein complex "," utp23  rpsa  wdr36  larp7"
3,"Cell junction "," nlgn2b  si:ch73-61d6.3  ctnna2"
3,"Membrane-enclosed lumen "," meaf6  ing4  wdr36"
3,"Outer membrane "," tomm5  tomm40l  slc25a46"
3,"Organelle lumen "," meaf6  ing4  wdr36"
3,"Polymeric cytoskeletal fiber "," map1b  tuba1a  prph"
2,"Endoplasmic reticulum membrane "," sec61b  pigu"
2,"Cell-cell junction "," si:ch73-61d6.3  ctnna2"
2,"Nuclear outer membrane-endoplasmic reticulum membrane network "," sec61b  pigu"
2,"Cell projection "," slc25a46  ccdc151"
2,"Anchoring junction "," si:ch73-61d6.3  ctnna2"
2,"Plasma membrane region "," slc12a2  cltca"
1,"Synapse "," nlgn2b"
1,"Chromatin "," clocka"
1,"Clathrin-coated pit "," cltca"
1,"Cilium "," ccdc151"
1,"Intrinsic component of organelle membrane "," pigu"
1,"Basal part of cell "," slc12a2"
1,"Coated membrane "," cltca"
1,"Inhibitory synapse "," nlgn2b"
1,"Respirasome "," uqcrb"
1,"Oxidoreductase complex "," uqcrb"
