"N","High level GO category","Genes"
4,"Locomotory behavior "," shank3a  cryaba  myo9aa  sap130a"
4,"Biological process involved in interspecies interaction between organisms "," ticam1  grk4  tet1  f5"
3,"Response to biotic stimulus "," ticam1  tet1  f5"
3,"Cell cycle process "," id2a  spo11  snx9a"
3,"Regulation of locomotion "," inpp5d  prox1a  anos1b"
3,"Response to other organism "," ticam1  tet1  f5"
2,"Reproduction "," kdm6a  spo11"
2,"Reproductive process "," kdm6a  spo11"
2,"Immune system development "," angptl2b  tbx20"
2,"Protein folding "," DNAJA4  calr"
2,"Immune response "," ticam1  nsmaf"
2,"Regulation of cellular component biogenesis "," fam49bb  lmod1b"
2,"Leukocyte migration "," nsmaf  inpp5d"
1,"Multi-organism process "," kdm6a"
1,"Immune effector process "," nsmaf"
1,"Regulation of immune system process "," inpp5d"
1,"Autophagy "," acbd5a"
1,"Cell growth "," myo9aa"
1,"Sexual reproduction "," kdm6a"
1,"Regulation of cell adhesion "," htt"
1,"Developmental induction "," nkd1"
1,"Methylation "," phf1"
1,"Multicellular organism reproduction "," kdm6a"
1,"Regulation of growth "," tbx20"
1,"Hormone metabolic process "," aldh1a2"
1,"Multi-organism reproductive process "," kdm6a"
1,"Multicellular organismal reproductive process "," kdm6a"
1,"Meiotic cell cycle process "," spo11"
