"chrom","start","end","cov12","cov23","cov13","index","color","pop"
"chr10",22100000,22200000,-0.0565164675183365,-0.0749551848252629,0.0609051498004136,3078,"col2","TB"
"chr10",26400000,26500000,-0.0472580909766166,-0.0586620759792433,0.0482082155681604,3121,"col2","TB"
"chr11",1400000,1500000,-0.0364392223412854,-0.0561115361659919,0.0384213634127055,3173,"col1","TB"
"chr11",5000000,5100000,-0.0079408753095589,-0.105869370242453,0.0362492021242202,3209,"col1","TB"
"chr11",27300000,27400000,-0.047131657734172,-0.0602961339681499,0.0469570254278364,3432,"col1","TB"
"chr12",10100000,10200000,-0.0290197573664975,-0.0957595083019565,0.0542701588185398,3560,"col2","TB"
"chr12",12500000,12600000,-0.0375012790308265,-0.0142710525530061,0.0385413996350669,3584,"col2","TB"
"chr12",13200000,13300000,-0.0688119490277259,-0.101349780113172,0.0801599681590457,3591,"col2","TB"
"chr12",14600000,14700000,-0.0130305714473068,-0.0952383441433902,0.0372698307299401,3605,"col2","TB"
"chr13",12900000,13000000,-0.0390135432902938,-0.0211815307412586,0.040121875210204,3888,"col1","TB"
"chr13",15600000,15700000,-0.0577190420339251,-0.100593391860488,0.0445731101702705,3915,"col1","TB"
"chr13",17300000,17400000,-0.0115388466987759,-0.022705515726401,0.0488835484156349,3932,"col1","TB"
"chr13",26300000,26400000,-0.0529477471359118,-0.0111651564962918,0.0376494272644773,4022,"col1","TB"
"chr14",13100000,13200000,-0.0289093801148861,-0.0274305962082173,0.0421691131954091,4188,"col2","TB"
"chr15",19400000,19500000,-0.0482567239963713,-0.0533589982445329,0.0385784423266084,4544,"col1","TB"
"chr15",26800000,26900000,0.016621753938967,0.0154884760894415,0.0377869971384719,4618,"col1","TB"
"chr16",5800000,5900000,-0.0833892053678609,-0.106290650221862,0.0569555058266521,4695,"col2","TB"
"chr16",6300000,6400000,-0.0128562152939759,0.00373746081632241,0.0395605021733667,4700,"col2","TB"
"chr16",27100000,27200000,-0.0807492616254572,0.0140571109052091,0.0613764526247901,4908,"col2","TB"
"chr16",27300000,27400000,-0.0258290203047164,-0.00995884198771899,0.0398816874845248,4910,"col2","TB"
"chr17",8700000,8800000,-0.0118969842156455,-0.01036946647046,0.0368386174731668,5001,"col1","TB"
"chr18",6500000,6600000,-0.0256397983550996,-0.0448771988053906,0.040403958107567,5254,"col2","TB"
"chr18",22500000,22600000,-0.0626914856393194,-0.0502398126438495,0.0392242255700486,5414,"col2","TB"
"chr19",2900000,3000000,-0.037576852952833,-0.0745865090311826,0.0433607912998107,5490,"col1","TB"
"chr19",8100000,8200000,-0.0134216494593239,0.0128269460947573,0.0383484999742747,5542,"col1","TB"
"chr19",10800000,10900000,-0.026223088648835,-0.0488722043102105,0.0382152279701834,5569,"col1","TB"
"chr19",18400000,18500000,-0.0609783433345749,-0.0469187071895912,0.0582532500080455,5645,"col1","TB"
"chr19",22100000,22200000,-0.074913091385313,-0.0523954598268891,0.0447922281485874,5682,"col1","TB"
"chr2",28600000,28700000,-0.0259557820827498,-0.0238811917867234,0.0409160713340073,617,"col2","TB"
"chr21",200000,300000,-0.0425480442086627,-0.0216801813164074,0.0417969978865151,6000,"col1","TB"
"chr21",18300000,18400000,-0.0179816534170257,-0.0257074050812308,0.0369106317892866,6181,"col1","TB"
"chr21",23000000,23100000,-0.0286211010830649,-0.0113768074909765,0.0723143124249997,6228,"col1","TB"
"chr22",3700000,3800000,-0.0206817645316518,-0.0100127128540714,0.0476887316508988,6299,"col2","TB"
"chr22",9000000,9100000,-0.00879073874384163,-0.0923312251631109,0.0389248677112498,6352,"col2","TB"
"chr22",11100000,11200000,-0.0364221723315117,-0.0183434024335288,0.0380060354778227,6373,"col2","TB"
"chr23",500000,600000,-0.018618943772003,-0.033751115543751,0.0365031465615143,6523,"col1","TB"
"chr23",8600000,8700000,-0.072591585176326,-0.0665026278788302,0.0659125004905795,6604,"col1","TB"
"chr23",18400000,18500000,-0.070762564032718,-0.0437489231824352,0.035589642853659,6702,"col1","TB"
"chr23",24300000,24400000,-0.051511367268425,-0.0166279327521607,0.0462175056104907,6761,"col1","TB"
"chr24",8800000,8900000,-0.0472128997413283,-0.0623681629190147,0.03857153891556,6858,"col2","TB"
"chr26",7800000,7900000,-0.0331747689895884,-0.035189478148647,0.0358876341766863,7197,"col2","TB"
"chr26",9500000,9600000,-0.0317169681315711,-0.00838159255060657,0.0361802367727598,7214,"col2","TB"
"chr26",10500000,10600000,-0.0249753933227675,-0.0366536137998104,0.0358448576788294,7224,"col2","TB"
"chr3",13800000,13900000,-0.0418279446294747,-0.0372210177564946,0.0356638434053555,799,"col1","TB"
"chr3",17900000,18000000,-0.0927464336849556,-0.0501091863724158,0.0481750887876528,840,"col1","TB"
"chr4",15700000,15800000,-0.0214978366522792,-0.0808759719200835,0.0385440529044897,1143,"col2","TB"
"chr4",19500000,19600000,-0.0375281741454167,-0.0670744816996244,0.0383731062718505,1181,"col2","TB"
"chr5",5200000,5300000,-0.0254622073274982,-0.0366823821584379,0.049733572470644,1360,"col1","TB"
"chr5",10900000,11000000,-0.0386109663356646,-0.127732931070616,0.0370350408092166,1417,"col1","TB"
"chr5",15000000,15100000,-0.0351196325738223,0.00159514874387595,0.0358423798047364,1458,"col1","TB"
"chr5",15500000,15600000,-0.118469994667782,-0.0937497627839378,0.125155724977928,1463,"col1","TB"
"chr5",15600000,15700000,-0.033079027417541,-0.0526812347869519,0.036016064767527,1464,"col1","TB"
"chr5",17400000,17500000,-0.112584701463719,-0.0369156929192407,0.0520062002906664,1482,"col1","TB"
"chr5",18400000,18500000,-0.0128508014995502,-0.0506143296290515,0.0364933604729837,1492,"col1","TB"
"chr6",4000000,4100000,-0.00817963681656855,-0.0240098854741106,0.0408315319733523,1663,"col2","TB"
"chr6",17300000,17400000,-0.0532343298688342,-0.048710839038963,0.0385335219518258,1796,"col2","TB"
"chr6",22400000,22500000,-0.0302868442146589,-0.0769789350194859,0.0414030650177393,1847,"col2","TB"
"chr8",8100000,8200000,-0.0462288721367945,-0.0553466009544182,0.0370950024292999,2327,"col2","TB"
"chr8",12500000,12600000,-0.0164457462007878,-0.0165703738471843,0.0480998643230167,2371,"col2","TB"
"chr8",15500000,15600000,-0.0119687927853303,-0.0425536804617739,0.0364927850532712,2401,"col2","TB"
"chr9",1400000,1500000,-0.0442230401298309,-0.0660307452492235,0.037654940862302,2567,"col1","TB"
"chr9",1700000,1800000,-0.18634552747496,-0.0842719297416808,0.112389947940015,2570,"col1","TB"
"chr9",4300000,4400000,-0.02331305639977,-0.0253230024506355,0.0388319916674618,2596,"col1","TB"
"chr9",26900000,27000000,-0.02395809485346,-0.137855852601766,0.0358489425508587,2822,"col1","TB"
