# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
BPTF	ENSCHAG00000021387	ENSCHAT00000050814	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	2
BPTF	ENSCHAG00000021387	ENSCHAT00000050823	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	2
BPTF	ENSCHAG00000021387	ENSCHAT00000050847	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	2
BPTF	ENSCHAG00000021387	ENSCHAT00000050874	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	2
BPTF	ENSCHAG00000021387	ENSCHAT00000050925	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	2
BPTF	ENSCHAG00000021387	ENSCHAT00000050997	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	2
BPTF	ENSCHAG00000021387	ENSCHAT00000051040	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2
BRSK2	ENSCHAG00000017077	ENSCHAT00000039449	protein_coding	0	0	0	26	0	0	0	2	23	0	0	0	0	0	0	0	1
BRSK2	ENSCHAG00000017077	ENSCHAT00000039466	protein_coding	0	0	0	26	0	0	0	2	23	0	0	0	0	0	0	0	1
BRSK2	ENSCHAG00000017077	ENSCHAT00000039478	protein_coding	0	0	0	24	0	0	0	2	21	0	0	0	0	0	0	0	1
BRSK2	ENSCHAG00000017077	ENSCHAT00000039494	protein_coding	0	0	0	24	0	0	0	2	21	0	0	0	0	0	0	0	1
BRSK2	ENSCHAG00000017077	ENSCHAT00000039510	protein_coding	0	0	0	24	0	0	0	2	21	0	0	0	0	0	0	0	1
BRSK2	ENSCHAG00000017077	ENSCHAT00000039524	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	1
C17orf58	ENSCHAG00000021348	ENSCHAT00000049784	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
C1orf146	ENSCHAG00000013925	ENSCHAT00000031466	protein_coding	0	0	0	5	0	0	0	3	1	0	0	0	0	0	0	0	1
CCNE2	ENSCHAG00000002021	ENSCHAT00000003498	protein_coding	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0	6
CCNE2	ENSCHAG00000002021	ENSCHAT00000003551	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	1
CLPB	ENSCHAG00000009705	ENSCHAT00000021666	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
CLPB	ENSCHAG00000009705	ENSCHAT00000021711	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
CLPB	ENSCHAG00000009705	ENSCHAT00000021819	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
DDX5	ENSCHAG00000019087	ENSCHAT00000045129	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DDX5	ENSCHAG00000019087	ENSCHAT00000045388	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DDX5	ENSCHAG00000019087	ENSCHAT00000045402	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DDX5	ENSCHAG00000019087	ENSCHAT00000045433	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DDX5	ENSCHAG00000019087	ENSCHAT00000045462	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DDX5	ENSCHAG00000019087	ENSCHAT00000045486	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DENND2A	ENSCHAG00000009667	ENSCHAT00000021374	protein_coding	0	2	0	7	1	0	0	0	5	0	0	0	1	0	0	1	2
DENND2A	ENSCHAG00000009667	ENSCHAT00000021441	protein_coding	0	2	0	7	1	0	0	0	5	0	0	0	1	0	0	1	2
DENND2A	ENSCHAG00000009667	ENSCHAT00000021474	protein_coding	0	1	0	8	0	0	0	2	5	0	0	0	1	0	0	0	2
DENND2A	ENSCHAG00000009667	ENSCHAT00000021519	protein_coding	0	2	0	3	1	0	0	0	3	0	0	0	1	0	0	1	0
DENND2A	ENSCHAG00000009667	ENSCHAT00000021609	protein_coding	0	2	0	3	1	0	0	0	3	0	0	0	1	0	0	1	0
DPY19L4	ENSCHAG00000001096	ENSCHAT00000002513	protein_coding	0	0	0	7	2	0	0	5	0	0	0	0	0	0	0	0	0
DPY19L4	ENSCHAG00000001096	ENSCHAT00000002624	protein_coding	0	0	0	7	2	0	0	5	0	0	0	0	0	0	0	0	0
DPY19L4	ENSCHAG00000001096	ENSCHAT00000002717	protein_coding	0	0	0	7	2	0	0	5	0	0	0	0	0	0	0	0	0
DPY19L4	ENSCHAG00000001096	ENSCHAT00000002779	protein_coding	0	0	0	7	2	0	0	5	0	0	0	0	0	0	0	0	0
ENDOV	ENSCHAG00000003061	ENSCHAT00000005252	protein_coding	0	0	0	18	0	0	0	0	12	0	0	0	0	0	0	0	6
ENDOV	ENSCHAG00000003061	ENSCHAT00000005328	protein_coding	0	0	0	18	0	0	0	0	12	0	0	0	0	0	0	0	6
ENSCHAG00000000245	ENSCHAG00000000245	ENSCHAT00000000421	protein_coding	0	0	0	23	0	0	1	3	13	0	0	0	0	0	0	0	6
ENSCHAG00000000245	ENSCHAG00000000245	ENSCHAT00000000426	protein_coding	0	0	1	19	0	0	0	3	13	1	0	0	0	0	0	0	3
ENSCHAG00000000245	ENSCHAG00000000245	ENSCHAT00000000438	protein_coding	0	0	1	19	0	0	0	3	13	1	0	0	0	0	0	0	3
ENSCHAG00000000245	ENSCHAG00000000245	ENSCHAT00000000449	protein_coding	0	0	1	9	0	0	0	3	3	1	0	0	0	0	0	0	3
ENSCHAG00000000247	ENSCHAG00000000247	ENSCHAT00000000424	scaRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000000287	ENSCHAG00000000287	ENSCHAT00000000467	protein_coding	0	1	0	9	0	1	3	3	0	0	0	0	0	0	0	0	3
ENSCHAG00000000291	ENSCHAG00000000291	ENSCHAT00000000476	protein_coding	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	0	8
ENSCHAG00000000297	ENSCHAG00000000297	ENSCHAT00000000480	protein_coding	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	5
ENSCHAG00000000307	ENSCHAG00000000307	ENSCHAT00000000489		0	0	0	12	0	0	0	9	1	0	1	0	0	0	0	0	1
ENSCHAG00000000318	ENSCHAG00000000318	ENSCHAT00000000501	protein_coding	0	4	2	75	9	0	0	37	22	2	0	0	2	0	0	2	9
ENSCHAG00000000327	ENSCHAG00000000327	ENSCHAT00000000526	protein_coding	0	10	9	82	0	1	2	8	25	9	0	0	2	0	0	7	49
ENSCHAG00000000374	ENSCHAG00000000374	ENSCHAT00000000600		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSCHAG00000000437	ENSCHAG00000000437	ENSCHAT00000000715	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000000776	ENSCHAG00000000776	ENSCHAT00000001229	protein_coding	0	0	0	16	0	0	0	0	13	0	0	0	0	0	0	0	3
ENSCHAG00000000776	ENSCHAG00000000776	ENSCHAT00000001242	protein_coding	0	0	0	16	0	0	0	2	11	0	0	0	0	0	0	0	3
ENSCHAG00000000776	ENSCHAG00000000776	ENSCHAT00000001260	protein_coding	0	0	0	16	0	0	0	2	11	0	0	0	0	0	0	0	3
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000001910	protein_coding	0	0	0	19	0	0	0	0	11	0	0	0	0	0	0	0	8
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002234	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002350	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002473	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002519	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002574	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002638	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002667	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002681	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSCHAG00000001521	ENSCHAG00000001521	ENSCHAT00000002421	protein_coding	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0
ENSCHAG00000001533	ENSCHAG00000001533	ENSCHAT00000002456	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000001648	ENSCHAG00000001648	ENSCHAT00000002691		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000001655	ENSCHAG00000001655	ENSCHAT00000002702	protein_coding	0	0	1	8	0	0	0	2	0	1	0	0	0	0	0	0	6
ENSCHAG00000001662	ENSCHAG00000001662	ENSCHAT00000002712		0	0	0	19	0	0	0	3	0	0	0	0	0	0	0	0	16
ENSCHAG00000001671	ENSCHAG00000001671	ENSCHAT00000002783	protein_coding	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	7
ENSCHAG00000001671	ENSCHAG00000001671	ENSCHAT00000002818	protein_coding	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	7
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003669	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003694	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003702	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003746	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003837	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003868	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003984	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004003	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004022	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000004049	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSCHAG00000001730	ENSCHAG00000001730	ENSCHAT00000002872	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	2
ENSCHAG00000001764	ENSCHAG00000001764	ENSCHAT00000002916	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	3
ENSCHAG00000001768	ENSCHAG00000001768	ENSCHAT00000002932	protein_coding	0	0	1	4	0	0	0	1	1	1	0	0	0	0	0	0	2
ENSCHAG00000001785	ENSCHAG00000001785	ENSCHAT00000002980	protein_coding	0	0	1	10	0	0	0	9	1	1	0	0	0	0	0	0	0
ENSCHAG00000001785	ENSCHAG00000001785	ENSCHAT00000002988	protein_coding	0	0	2	9	0	0	0	9	0	2	0	0	0	0	0	0	0
ENSCHAG00000001846	ENSCHAG00000001846	ENSCHAT00000003096		0	0	0	13	0	0	0	5	0	0	8	0	0	0	0	0	0
ENSCHAG00000001873	ENSCHAG00000001873	ENSCHAT00000003137	protein_coding	0	0	0	21	0	0	0	6	1	0	0	0	0	0	0	0	14
ENSCHAG00000001882	ENSCHAG00000001882	ENSCHAT00000003163	protein_coding	0	0	0	10	0	0	0	6	4	0	0	0	0	0	0	0	0
ENSCHAG00000001893	ENSCHAG00000001893	ENSCHAT00000003174		0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	0	9
ENSCHAG00000001914	ENSCHAG00000001914	ENSCHAT00000003326	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000001914	ENSCHAG00000001914	ENSCHAT00000003341	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000002102	ENSCHAG00000002102	ENSCHAT00000003657	protein_coding	0	1	0	10	0	0	0	2	4	0	0	0	0	0	0	1	4
ENSCHAG00000002102	ENSCHAG00000002102	ENSCHAT00000003721	protein_coding	0	1	0	7	0	0	0	2	4	0	0	0	0	0	0	1	1
ENSCHAG00000002122	ENSCHAG00000002122	ENSCHAT00000003727	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000002122	ENSCHAG00000002122	ENSCHAT00000003776	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000002122	ENSCHAG00000002122	ENSCHAT00000003834	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000002122	ENSCHAG00000002122	ENSCHAT00000003908	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000002132	ENSCHAG00000002132	ENSCHAT00000003722		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSCHAG00000002133	ENSCHAG00000002133	ENSCHAT00000003725		0	0	0	9	0	0	0	2	2	0	0	0	0	0	0	0	5
ENSCHAG00000002135	ENSCHAG00000002135	ENSCHAT00000003732		0	0	0	15	0	0	0	7	0	0	1	0	0	0	0	0	7
ENSCHAG00000002441	ENSCHAG00000002441	ENSCHAT00000004279		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000002455	ENSCHAG00000002455	ENSCHAT00000004307		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000002523	ENSCHAG00000002523	ENSCHAT00000004605	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000002713	ENSCHAG00000002713	ENSCHAT00000004649		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000002766	ENSCHAG00000002766	ENSCHAT00000005482	protein_coding	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	5
ENSCHAG00000002766	ENSCHAG00000002766	ENSCHAT00000005548	protein_coding	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	5
ENSCHAG00000002766	ENSCHAG00000002766	ENSCHAT00000005589	protein_coding	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	5
ENSCHAG00000002766	ENSCHAG00000002766	ENSCHAT00000005686	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000002815	ENSCHAG00000002815	ENSCHAT00000004899	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000002830	ENSCHAG00000002830	ENSCHAT00000004924	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000002887	ENSCHAG00000002887	ENSCHAT00000005009	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSCHAG00000002909	ENSCHAG00000002909	ENSCHAT00000005202	protein_coding	2	3	4	13	0	0	0	2	1	4	0	0	1	2	0	3	10
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005324	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	6
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005339	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	6
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005419	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	6
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005534	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	6
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005700	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	6
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005748	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	6
ENSCHAG00000003314	ENSCHAG00000003314	ENSCHAT00000005774		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003315	ENSCHAG00000003315	ENSCHAT00000005811	protein_coding	0	0	0	35	0	0	0	17	2	0	0	0	0	0	0	0	16
ENSCHAG00000003346	ENSCHAG00000003346	ENSCHAT00000005817		0	0	0	25	0	0	0	2	2	0	6	0	0	0	0	0	15
ENSCHAG00000003350	ENSCHAG00000003350	ENSCHAT00000005826	protein_coding	0	0	0	27	0	0	0	26	0	0	0	0	0	0	0	0	1
ENSCHAG00000003358	ENSCHAG00000003358	ENSCHAT00000006090	protein_coding	0	0	0	16	0	0	0	5	0	0	0	0	0	0	0	0	11
ENSCHAG00000004520	ENSCHAG00000004520	ENSCHAT00000008244	protein_coding	0	0	1	7	0	0	0	0	7	1	0	0	0	0	0	0	0
ENSCHAG00000004972	ENSCHAG00000004972	ENSCHAT00000009165		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000004979	ENSCHAG00000004979	ENSCHAT00000009172		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005035	ENSCHAG00000005035	ENSCHAT00000009283	protein_coding	0	0	0	20	0	0	0	3	12	0	0	0	0	0	0	0	5
ENSCHAG00000005035	ENSCHAG00000005035	ENSCHAT00000009299	protein_coding	0	0	0	20	0	0	0	3	12	0	0	0	0	0	0	0	5
ENSCHAG00000005035	ENSCHAG00000005035	ENSCHAT00000009314	protein_coding	0	0	0	20	0	0	0	3	12	0	0	0	0	0	0	0	5
ENSCHAG00000005035	ENSCHAG00000005035	ENSCHAT00000009341	protein_coding	0	0	0	13	0	0	0	3	10	0	0	0	0	0	0	0	0
ENSCHAG00000005035	ENSCHAG00000005035	ENSCHAT00000009362	protein_coding	0	0	0	13	0	0	0	3	10	0	0	0	0	0	0	0	0
ENSCHAG00000005035	ENSCHAG00000005035	ENSCHAT00000009396	protein_coding	0	0	0	9	0	0	0	3	3	0	0	0	0	0	0	0	3
ENSCHAG00000005035	ENSCHAG00000005035	ENSCHAT00000009438	protein_coding	0	0	0	11	2	0	0	0	4	0	0	0	0	0	0	0	5
ENSCHAG00000005035	ENSCHAG00000005035	ENSCHAT00000009457	protein_coding	0	0	0	11	2	0	0	0	4	0	0	0	0	0	0	0	5
ENSCHAG00000005035	ENSCHAG00000005035	ENSCHAT00000009483	protein_coding	0	0	0	11	2	0	0	0	4	0	0	0	0	0	0	0	5
ENSCHAG00000005035	ENSCHAG00000005035	ENSCHAT00000009503	protein_coding	0	0	0	4	2	0	0	0	2	0	0	0	0	0	0	0	0
ENSCHAG00000005056	ENSCHAG00000005056	ENSCHAT00000009322		0	0	0	22	0	0	0	7	8	0	2	0	0	0	0	0	5
ENSCHAG00000005057	ENSCHAG00000005057	ENSCHAT00000009380	protein_coding	0	0	2	13	0	0	0	7	5	2	0	0	1	0	0	0	1
ENSCHAG00000005097	ENSCHAG00000005097	ENSCHAT00000009440		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005105	ENSCHAG00000005105	ENSCHAT00000009462	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000005137	ENSCHAG00000005137	ENSCHAT00000009586	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000005167	ENSCHAG00000005167	ENSCHAT00000009622	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000005243	ENSCHAG00000005243	ENSCHAT00000009786		0	0	0	9	0	0	0	3	6	0	0	0	0	0	0	0	0
ENSCHAG00000005701	ENSCHAG00000005701	ENSCHAT00000010932	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
ENSCHAG00000005719	ENSCHAG00000005719	ENSCHAT00000010967	protein_coding	0	0	0	52	7	0	0	3	42	0	0	0	0	0	0	0	0
ENSCHAG00000005719	ENSCHAG00000005719	ENSCHAT00000011000	protein_coding	0	2	2	35	1	0	0	31	3	2	0	0	0	0	0	2	0
ENSCHAG00000005719	ENSCHAG00000005719	ENSCHAT00000011074	protein_coding	0	2	2	35	1	0	0	31	3	2	0	0	0	0	0	2	0
ENSCHAG00000005719	ENSCHAG00000005719	ENSCHAT00000011122	protein_coding	0	0	0	52	7	0	0	3	42	0	0	0	0	0	0	0	0
ENSCHAG00000005724	ENSCHAG00000005724	ENSCHAT00000010994		0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	3
ENSCHAG00000005725	ENSCHAG00000005725	ENSCHAT00000010995		0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000005782	ENSCHAG00000005782	ENSCHAT00000011146		0	0	0	13	0	0	0	0	3	0	2	0	0	0	0	0	8
ENSCHAG00000006119	ENSCHAG00000006119	ENSCHAT00000012077	protein_coding	0	1	0	16	0	0	0	9	2	0	0	0	0	0	0	1	5
ENSCHAG00000006119	ENSCHAG00000006119	ENSCHAT00000012137	protein_coding	0	1	1	15	0	0	0	9	1	1	0	0	0	0	0	1	5
ENSCHAG00000006119	ENSCHAG00000006119	ENSCHAT00000012157	protein_coding	0	1	1	15	0	0	0	9	1	1	0	0	0	0	0	1	5
ENSCHAG00000006205	ENSCHAG00000006205	ENSCHAT00000012598	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSCHAG00000006205	ENSCHAG00000006205	ENSCHAT00000012632	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSCHAG00000006205	ENSCHAG00000006205	ENSCHAT00000012683	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSCHAG00000006367	ENSCHAG00000006367	ENSCHAT00000012554		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000006369	ENSCHAG00000006369	ENSCHAT00000012559		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000006372	ENSCHAG00000006372	ENSCHAT00000012564		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSCHAG00000006374	ENSCHAG00000006374	ENSCHAT00000012567		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000006426	ENSCHAG00000006426	ENSCHAT00000012691	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000006440	ENSCHAG00000006440	ENSCHAT00000012717	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000006469	ENSCHAG00000006469	ENSCHAT00000012824	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000006493	ENSCHAG00000006493	ENSCHAT00000012849		0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2
ENSCHAG00000006497	ENSCHAG00000006497	ENSCHAT00000012854		0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
ENSCHAG00000006497	ENSCHAG00000006497	ENSCHAT00000012857		0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
ENSCHAG00000006502	ENSCHAG00000006502	ENSCHAT00000012859		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000006506	ENSCHAG00000006506	ENSCHAT00000012867	protein_coding	0	0	0	6	0	0	0	2	4	0	0	0	0	0	0	0	0
ENSCHAG00000006506	ENSCHAG00000006506	ENSCHAT00000012889	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0
