# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSCHAG00000002417	ENSCHAG00000002417	ENSCHAT00000004240		0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000002458	ENSCHAG00000002458	ENSCHAT00000004310		0	0	0	6	0	0	0	2	0	0	4	0	0	0	0
ENSCHAG00000002549	ENSCHAG00000002549	ENSCHAT00000004434	protein_coding	0	0	0	6	0	0	0	5	0	0	0	0	0	0	1
ENSCHAG00000002586	ENSCHAG00000002586	ENSCHAT00000004696	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000002586	ENSCHAG00000002586	ENSCHAT00000004807	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000002689	ENSCHAG00000002689	ENSCHAT00000004601	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0
ENSCHAG00000002710	ENSCHAG00000002710	ENSCHAT00000004686	protein_coding	0	2	3	27	0	0	0	5	7	3	0	0	0	2	15
ENSCHAG00000002747	ENSCHAG00000002747	ENSCHAT00000004700	protein_coding	0	0	0	22	0	0	0	7	4	0	0	0	0	0	11
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005324	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	6
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005339	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	6
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005419	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	6
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005534	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	6
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005700	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	6
ENSCHAG00000003057	ENSCHAG00000003057	ENSCHAT00000005748	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	6
ENSCHAG00000003232	ENSCHAG00000003232	ENSCHAT00000013777	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000003232	ENSCHAG00000003232	ENSCHAT00000014756	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000003232	ENSCHAG00000003232	ENSCHAT00000015461	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000003232	ENSCHAG00000003232	ENSCHAT00000019096	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000003232	ENSCHAG00000003232	ENSCHAT00000019388	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000003232	ENSCHAG00000003232	ENSCHAT00000019585	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000003232	ENSCHAG00000003232	ENSCHAT00000020200	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000003232	ENSCHAG00000003232	ENSCHAT00000021341	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000003232	ENSCHAG00000003232	ENSCHAT00000021491	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000003232	ENSCHAG00000003232	ENSCHAT00000021566	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000003315	ENSCHAG00000003315	ENSCHAT00000005811	protein_coding	0	0	0	35	0	0	0	17	2	0	0	0	0	0	16
ENSCHAG00000003346	ENSCHAG00000003346	ENSCHAT00000005817		0	0	0	25	0	0	0	2	2	0	6	0	0	0	15
ENSCHAG00000003350	ENSCHAG00000003350	ENSCHAT00000005826	protein_coding	0	0	0	27	0	0	0	26	0	0	0	0	0	0	1
ENSCHAG00000003358	ENSCHAG00000003358	ENSCHAT00000006090	protein_coding	0	0	0	16	0	0	0	5	0	0	0	0	0	0	11
ENSCHAG00000003723	ENSCHAG00000003723	ENSCHAT00000006691	protein_coding	0	0	0	9	0	0	0	4	2	0	0	0	0	0	3
ENSCHAG00000003729	ENSCHAG00000003729	ENSCHAT00000006675		0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000004347	ENSCHAG00000004347	ENSCHAT00000007907		0	0	0	2	0	0	0	1	0	0	1	0	0	0	0
ENSCHAG00000004449	ENSCHAG00000004449	ENSCHAT00000008129	protein_coding	0	1	1	17	0	0	0	10	2	1	0	2	0	0	6
ENSCHAG00000004520	ENSCHAG00000004520	ENSCHAT00000008244	protein_coding	0	0	1	7	0	0	0	0	7	1	0	0	0	0	0
ENSCHAG00000005097	ENSCHAG00000005097	ENSCHAT00000009440		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005105	ENSCHAG00000005105	ENSCHAT00000009462	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000005355	ENSCHAG00000005355	ENSCHAT00000010046	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000005360	ENSCHAG00000005360	ENSCHAT00000010109	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000006013	ENSCHAG00000006013	ENSCHAT00000011709	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000006367	ENSCHAG00000006367	ENSCHAT00000012554		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000006369	ENSCHAG00000006369	ENSCHAT00000012559		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSCHAG00000006372	ENSCHAG00000006372	ENSCHAT00000012564		0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000006374	ENSCHAG00000006374	ENSCHAT00000012567		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSCHAG00000006426	ENSCHAG00000006426	ENSCHAT00000012691	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000006440	ENSCHAG00000006440	ENSCHAT00000012717	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000006819	ENSCHAG00000006819	ENSCHAT00000013599		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000006871	ENSCHAG00000006871	ENSCHAT00000013699	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000007051	ENSCHAG00000007051	ENSCHAT00000014170	protein_coding	0	0	0	13	0	0	0	13	0	0	0	0	0	0	0
ENSCHAG00000007056	ENSCHAG00000007056	ENSCHAT00000014137	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000007079	ENSCHAG00000007079	ENSCHAT00000014250	protein_coding	0	2	7	2	0	0	0	1	1	7	0	0	0	2	0
ENSCHAG00000007112	ENSCHAG00000007112	ENSCHAT00000014317	protein_coding	0	1	4	7	0	0	0	5	1	4	0	0	0	1	1
ENSCHAG00000007138	ENSCHAG00000007138	ENSCHAT00000014418	protein_coding	0	0	0	7	0	0	0	0	2	0	0	0	0	0	5
ENSCHAG00000007184	ENSCHAG00000007184	ENSCHAT00000014466	protein_coding	0	0	0	7	0	0	0	4	0	0	0	0	0	0	3
ENSCHAG00000007207	ENSCHAG00000007207	ENSCHAT00000014517	protein_coding	0	1	0	4	0	0	0	1	0	0	0	0	0	1	3
ENSCHAG00000007317	ENSCHAG00000007317	ENSCHAT00000014754	protein_coding	0	0	1	17	0	0	0	1	15	1	0	0	0	0	1
ENSCHAG00000007325	ENSCHAG00000007325	ENSCHAT00000014869	protein_coding	0	1	0	10	0	0	0	3	2	0	0	0	0	1	5
ENSCHAG00000007371	ENSCHAG00000007371	ENSCHAT00000015014	protein_coding	0	0	0	21	0	0	0	6	7	0	0	0	0	0	8
ENSCHAG00000007371	ENSCHAG00000007371	ENSCHAT00000015174	protein_coding	0	0	0	21	0	0	0	6	3	0	0	0	0	0	12
ENSCHAG00000007371	ENSCHAG00000007371	ENSCHAT00000015198	protein_coding	0	0	0	21	0	0	0	6	3	0	0	0	0	0	12
ENSCHAG00000007513	ENSCHAG00000007513	ENSCHAT00000015256	protein_coding	0	0	1	4	0	0	0	1	3	1	0	0	0	0	0
ENSCHAG00000007513	ENSCHAG00000007513	ENSCHAT00000015269	protein_coding	0	0	1	4	0	0	0	1	3	1	0	0	0	0	0
ENSCHAG00000007853	ENSCHAG00000007853	ENSCHAT00000016471	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000007853	ENSCHAG00000007853	ENSCHAT00000017635	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000007853	ENSCHAG00000007853	ENSCHAT00000017829	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000007853	ENSCHAG00000007853	ENSCHAT00000018009	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000007853	ENSCHAG00000007853	ENSCHAT00000018135	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ENSCHAG00000007907	ENSCHAG00000007907	ENSCHAT00000016144	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000008315	ENSCHAG00000008315	ENSCHAT00000017365	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000008315	ENSCHAG00000008315	ENSCHAT00000017463	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000008315	ENSCHAG00000008315	ENSCHAT00000017516	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000008315	ENSCHAG00000008315	ENSCHAT00000017547	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000008765	ENSCHAG00000008765	ENSCHAT00000018190		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000008785	ENSCHAG00000008785	ENSCHAT00000018246	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000008791	ENSCHAG00000008791	ENSCHAT00000018254	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000008921	ENSCHAG00000008921	ENSCHAT00000018632	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0
ENSCHAG00000008921	ENSCHAG00000008921	ENSCHAT00000018652	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0
ENSCHAG00000008939	ENSCHAG00000008939	ENSCHAT00000018738	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
ENSCHAG00000008966	ENSCHAG00000008966	ENSCHAT00000018722		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000008966	ENSCHAG00000008966	ENSCHAT00000018723		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000010127	ENSCHAG00000010127	ENSCHAT00000021754	protein_coding	0	0	0	74	0	0	0	0	73	0	0	0	0	0	1
ENSCHAG00000010127	ENSCHAG00000010127	ENSCHAT00000021822	protein_coding	0	1	2	71	0	0	0	0	70	2	0	0	0	1	1
ENSCHAG00000010127	ENSCHAG00000010127	ENSCHAT00000021918	protein_coding	0	1	4	69	0	0	0	0	68	4	0	0	0	1	1
ENSCHAG00000010127	ENSCHAG00000010127	ENSCHAT00000022044	protein_coding	0	1	4	69	0	0	0	0	68	4	0	0	0	1	1
ENSCHAG00000010127	ENSCHAG00000010127	ENSCHAT00000022823	protein_coding	0	0	0	74	0	0	0	0	73	0	0	0	0	0	1
ENSCHAG00000010127	ENSCHAG00000010127	ENSCHAT00000029736	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
ENSCHAG00000010127	ENSCHAG00000010127	ENSCHAT00000030503	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
ENSCHAG00000010127	ENSCHAG00000010127	ENSCHAT00000030845	protein_coding	0	1	5	25	0	0	0	0	18	5	0	0	0	1	7
ENSCHAG00000010127	ENSCHAG00000010127	ENSCHAT00000031401	protein_coding	0	2	5	24	0	0	0	0	17	5	0	0	0	2	7
ENSCHAG00000010127	ENSCHAG00000010127	ENSCHAT00000031427	protein_coding	0	2	5	24	0	0	0	0	17	5	0	0	0	2	7
ENSCHAG00000010270	ENSCHAG00000010270	ENSCHAT00000022196	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
ENSCHAG00000010446	ENSCHAG00000010446	ENSCHAT00000022579	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	6
ENSCHAG00000010446	ENSCHAG00000010446	ENSCHAT00000022596	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	6
ENSCHAG00000010446	ENSCHAG00000010446	ENSCHAT00000022624	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	6
ENSCHAG00000010446	ENSCHAG00000010446	ENSCHAT00000022668	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000010513	ENSCHAG00000010513	ENSCHAT00000022811	protein_coding	0	4	2	0	0	0	0	0	0	2	0	0	0	4	0
ENSCHAG00000010513	ENSCHAG00000010513	ENSCHAT00000022827	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
ENSCHAG00000010513	ENSCHAG00000010513	ENSCHAT00000022844	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
ENSCHAG00000010513	ENSCHAG00000010513	ENSCHAT00000022860	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
ENSCHAG00000010600	ENSCHAG00000010600	ENSCHAT00000023292	protein_coding	0	3	0	27	1	0	0	3	22	0	0	1	0	2	2
ENSCHAG00000010600	ENSCHAG00000010600	ENSCHAT00000023319	protein_coding	0	3	0	27	1	0	0	3	22	0	0	1	0	2	2
ENSCHAG00000010600	ENSCHAG00000010600	ENSCHAT00000023342	protein_coding	0	3	0	27	1	0	0	3	22	0	0	1	0	2	2
ENSCHAG00000010600	ENSCHAG00000010600	ENSCHAT00000023357	protein_coding	0	3	0	27	1	0	0	3	22	0	0	1	0	2	2
ENSCHAG00000010600	ENSCHAG00000010600	ENSCHAT00000023419	protein_coding	0	3	0	27	0	0	0	4	20	0	0	1	0	2	4
ENSCHAG00000010675	ENSCHAG00000010675	ENSCHAT00000023069	protein_coding	0	0	1	15	1	0	0	2	2	1	0	0	0	0	10
ENSCHAG00000010680	ENSCHAG00000010680	ENSCHAT00000023337	protein_coding	0	0	0	15	1	0	0	6	8	0	0	0	0	0	0
ENSCHAG00000010680	ENSCHAG00000010680	ENSCHAT00000023355	protein_coding	0	0	0	15	1	0	0	6	8	0	0	0	0	0	0
ENSCHAG00000010680	ENSCHAG00000010680	ENSCHAT00000023378	protein_coding	0	0	0	15	1	0	0	6	8	0	0	0	0	0	0
ENSCHAG00000011120	ENSCHAG00000011120	ENSCHAT00000024225	protein_coding	0	0	0	59	0	0	0	0	59	0	0	0	0	0	0
ENSCHAG00000011187	ENSCHAG00000011187	ENSCHAT00000024716	protein_coding	0	0	0	26	0	0	0	0	18	0	0	0	0	0	8
ENSCHAG00000011187	ENSCHAG00000011187	ENSCHAT00000024733	protein_coding	0	0	0	26	0	0	0	0	18	0	0	0	0	0	8
ENSCHAG00000011187	ENSCHAG00000011187	ENSCHAT00000024745	protein_coding	0	0	0	26	0	0	0	0	18	0	0	0	0	0	8
ENSCHAG00000011187	ENSCHAG00000011187	ENSCHAT00000024760	protein_coding	0	0	0	26	0	0	0	0	18	0	0	0	0	0	8
ENSCHAG00000011187	ENSCHAG00000011187	ENSCHAT00000024774	protein_coding	0	0	0	26	0	0	0	0	18	0	0	0	0	0	8
ENSCHAG00000011187	ENSCHAG00000011187	ENSCHAT00000024796	protein_coding	0	0	0	21	0	0	0	1	12	0	0	0	0	0	8
ENSCHAG00000011290	ENSCHAG00000011290	ENSCHAT00000024661	protein_coding	0	10	7	76	0	0	0	0	73	7	0	3	0	10	3
ENSCHAG00000011290	ENSCHAG00000011290	ENSCHAT00000024680	protein_coding	0	10	7	43	0	0	0	0	40	7	0	3	0	10	3
ENSCHAG00000011290	ENSCHAG00000011290	ENSCHAT00000024697	protein_coding	0	10	7	43	0	0	0	0	40	7	0	3	0	10	3
ENSCHAG00000011312	ENSCHAG00000011312	ENSCHAT00000024785	protein_coding	0	0	0	19	0	0	0	0	15	0	0	0	0	0	4
ENSCHAG00000011355	ENSCHAG00000011355	ENSCHAT00000024891	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000011508	ENSCHAG00000011508	ENSCHAT00000025508	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	4
ENSCHAG00000011602	ENSCHAG00000011602	ENSCHAT00000025553	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000011614	ENSCHAG00000011614	ENSCHAT00000025628	protein_coding	0	0	0	28	0	0	0	0	0	0	0	0	0	0	28
ENSCHAG00000012129	ENSCHAG00000012129	ENSCHAT00000026909		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000012129	ENSCHAG00000012129	ENSCHAT00000026911		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
