"chrom","start","end","cov23","index","color","pop"
"chr20",7500000,7600000,0.0389573638313134,5807,"col2","PWS"
"chr21",25600000,25700000,0.064573662376343,6254,"col1","PWS"
"chr22",24200000,24300000,0.0379623670575827,6504,"col2","PWS"
"chr23",16900000,17000000,0.0578589391188292,6687,"col1","PWS"
"chr23",19000000,19100000,0.0572644475052378,6708,"col1","PWS"
"chr23",19100000,19200000,0.0979397906349832,6709,"col1","PWS"
"chr23",23400000,23500000,0.0781051246889756,6752,"col1","PWS"
"chr24",1200000,1300000,0.0366816934878093,6782,"col2","PWS"
"chr25",1000000,1100000,0.153272309379263,6980,"col1","PWS"
"chr25",1100000,1200000,0.0559075001571529,6981,"col1","PWS"
"chr26",1200000,1300000,0.0366986421082391,7131,"col2","PWS"
"chr26",5500000,5600000,0.0547086387643083,7174,"col2","PWS"
"chr3",3200000,3300000,0.0360949399561485,693,"col1","PWS"
"chr4",15100000,15200000,0.0403708324851989,1137,"col2","PWS"
"chr4",17200000,17300000,0.0385789332544695,1158,"col2","PWS"
"chr4",26300000,26400000,0.0398585545544785,1249,"col2","PWS"
"chr6",700000,800000,0.0404129104340431,1630,"col2","PWS"
"chr6",2800000,2900000,0.0352424034645081,1651,"col2","PWS"
"chr6",9900000,10000000,0.0563456657673192,1722,"col2","PWS"
"chr6",18500000,18600000,0.038868758104439,1808,"col2","PWS"
"chr7",23400000,23500000,0.04452469381918,2171,"col1","PWS"
"chr7",23900000,24000000,0.0344343470644356,2176,"col1","PWS"
"chr7",24000000,24100000,0.0461617836353275,2177,"col1","PWS"
"chr7",25100000,25200000,0.0367207510539872,2188,"col1","PWS"
"chr7",27900000,28000000,0.0589925994502012,2216,"col1","PWS"
"chr7",29600000,29700000,0.053302124421197,2233,"col1","PWS"
"chr7",30800000,30900000,0.0431210772657714,2245,"col1","PWS"
"chr9",10600000,10700000,0.0454821018703914,2659,"col1","PWS"
"chr9",30300000,30400000,0.0466294575891799,2856,"col1","PWS"
"chr1",11800000,11900000,0.052149916226145,119,"col1","TB"
"chr1",32600000,32700000,0.11084763653537,327,"col1","TB"
"chr10",19100000,19200000,0.0352909578837822,3048,"col2","TB"
"chr10",21400000,21500000,0.0375161545085795,3071,"col2","TB"
"chr11",900000,1000000,0.0459689676714335,3168,"col1","TB"
"chr11",3600000,3700000,0.0390599276037641,3195,"col1","TB"
"chr11",5900000,6000000,0.0517770429198361,3218,"col1","TB"
"chr11",11300000,11400000,0.0347042507375797,3272,"col1","TB"
"chr11",16200000,16300000,0.0375594957764891,3321,"col1","TB"
"chr12",15100000,15200000,0.0359386281137687,3610,"col2","TB"
"chr12",22800000,22900000,0.0359862668374242,3687,"col2","TB"
"chr12",24900000,25000000,0.042131259256324,3708,"col2","TB"
"chr12",25300000,25400000,0.0572092595300839,3712,"col2","TB"
"chr12",27900000,28000000,0.0350168198003846,3738,"col2","TB"
"chr13",22000000,22100000,0.0565236263821503,3979,"col1","TB"
"chr13",22800000,22900000,0.0591977088907759,3987,"col1","TB"
"chr13",26400000,26500000,0.0421074857221172,4023,"col1","TB"
"chr14",3200000,3300000,0.0442386060045501,4089,"col2","TB"
"chr14",13600000,13700000,0.0392991225818265,4193,"col2","TB"
"chr15",18200000,18300000,0.0344798597073788,4532,"col1","TB"
"chr15",26700000,26800000,0.0414792792341354,4617,"col1","TB"
"chr16",6400000,6500000,0.14984740126937,4701,"col2","TB"
"chr16",10500000,10600000,0.0357442625939339,4742,"col2","TB"
"chr16",22400000,22500000,0.0908531791899999,4861,"col2","TB"
"chr16",26800000,26900000,0.0578981455170168,4905,"col2","TB"
"chr17",9700000,9800000,0.0423298156891455,5011,"col1","TB"
"chr17",13500000,13600000,0.0398845133227368,5049,"col1","TB"
"chr17",27300000,27400000,0.0376098823220596,5187,"col1","TB"
"chr18",12700000,12800000,0.045743143052802,5316,"col2","TB"
"chr18",18400000,18500000,0.0473493653334045,5373,"col2","TB"
"chr19",1400000,1500000,0.0438047137136548,5475,"col1","TB"
"chr19",4400000,4500000,0.0404054517502756,5505,"col1","TB"
"chr19",22000000,22100000,0.0344569825421695,5681,"col1","TB"
"chr20",7500000,7600000,0.0636009558888532,5807,"col2","TB"
"chr20",7600000,7700000,0.0526867782171558,5808,"col2","TB"
"chr20",22600000,22700000,0.0397833923305722,5958,"col2","TB"
"chr21",6100000,6200000,0.0460805820066297,6059,"col1","TB"
"chr21",26300000,26400000,0.0368192598089109,6261,"col1","TB"
"chr23",15000000,15100000,0.0557422132410015,6668,"col1","TB"
"chr24",5800000,5900000,0.040046849003736,6828,"col2","TB"
"chr3",8400000,8500000,0.0440240514433382,745,"col1","TB"
"chr3",11800000,11900000,0.0720431749142138,779,"col1","TB"
"chr3",17100000,17200000,0.0650927802298074,832,"col1","TB"
"chr3",17400000,17500000,0.0375048151382651,835,"col1","TB"
"chr3",17700000,17800000,0.0343714098233742,838,"col1","TB"
"chr3",26500000,26600000,0.0635748670250038,926,"col1","TB"
"chr4",15000000,15100000,0.0457892335679945,1136,"col2","TB"
"chr4",26300000,26400000,0.0484836225914513,1249,"col2","TB"
"chr4",28800000,28900000,0.0506972419655741,1274,"col2","TB"
"chr4",29200000,29300000,0.0355627418343227,1278,"col2","TB"
"chr4",31600000,31700000,0.036837807412468,1302,"col2","TB"
"chr5",1200000,1300000,0.0381654053764835,1320,"col1","TB"
"chr5",8700000,8800000,0.04447041192994,1395,"col1","TB"
"chr5",13400000,13500000,0.0347893707049173,1442,"col1","TB"
"chr5",19400000,19500000,0.0387082074754128,1502,"col1","TB"
"chr6",9900000,10000000,0.0347399452052779,1722,"col2","TB"
"chr6",16600000,16700000,0.0554379326081968,1789,"col2","TB"
"chr6",16700000,16800000,0.0425664894211411,1790,"col2","TB"
"chr7",27500000,27600000,0.0453332527041361,2212,"col1","TB"
"chr7",27900000,28000000,0.0360473524246046,2216,"col1","TB"
"chr9",14500000,14600000,0.0353709455840312,2698,"col1","TB"
"chr9",25600000,25700000,0.0858703281963097,2809,"col1","TB"
"chr1",5700000,5800000,0.0357182619880485,58,"col1","SS"
"chr1",15800000,15900000,0.0371701129846808,159,"col1","SS"
"chr1",32700000,32800000,0.0356046929595552,328,"col1","SS"
"chr10",18600000,18700000,0.0357318445548883,3043,"col2","SS"
"chr10",21700000,21800000,0.0392542257751147,3074,"col2","SS"
"chr10",21900000,22000000,0.035336365495751,3076,"col2","SS"
"chr10",27000000,27100000,0.0374720477635025,3127,"col2","SS"
"chr11",10500000,10600000,0.0416555980179556,3264,"col1","SS"
"chr11",27200000,27300000,0.0359594480620784,3431,"col1","SS"
"chr12",26700000,26800000,0.0512190644589715,3726,"col2","SS"
"chr12",28500000,28600000,0.0762766120093261,3744,"col2","SS"
"chr13",11200000,11300000,0.0551987467260253,3871,"col1","SS"
"chr13",22800000,22900000,0.0418894568815246,3987,"col1","SS"
"chr13",27400000,27500000,0.035435155910971,4033,"col1","SS"
"chr13",29500000,29600000,0.192378042854223,4054,"col1","SS"
"chr14",3300000,3400000,0.0565627205564018,4090,"col2","SS"
"chr14",7100000,7200000,0.0359482028319736,4128,"col2","SS"
"chr15",28300000,28400000,0.054537061217394,4633,"col1","SS"
"chr15",28400000,28500000,0.0379634075905869,4634,"col1","SS"
"chr16",3900000,4000000,0.0413720045683705,4676,"col2","SS"
"chr16",15300000,15400000,0.0369711633402352,4790,"col2","SS"
"chr16",24500000,24600000,0.034895825620187,4882,"col2","SS"
"chr16",26700000,26800000,0.0583320964157676,4904,"col2","SS"
"chr16",26900000,27000000,0.035930352484454,4906,"col2","SS"
"chr17",9700000,9800000,0.0451149512696301,5011,"col1","SS"
"chr18",2800000,2900000,0.0378037138831405,5217,"col2","SS"
"chr19",3000000,3100000,0.0349653275635931,5491,"col1","SS"
"chr19",3500000,3600000,0.0360230609237975,5496,"col1","SS"
"chr19",6800000,6900000,0.0429111537655712,5529,"col1","SS"
"chr2",4100000,4200000,0.0468468227273232,372,"col2","SS"
"chr2",7400000,7500000,0.0393376183361686,405,"col2","SS"
"chr20",5400000,5500000,0.0344052545272783,5786,"col2","SS"
"chr20",8900000,9000000,0.0358237204320404,5821,"col2","SS"
"chr20",18300000,18400000,0.0343094993034564,5915,"col2","SS"
"chr20",22600000,22700000,0.0441354810996706,5958,"col2","SS"
"chr20",22700000,22800000,0.0379091460304829,5959,"col2","SS"
"chr21",21300000,21400000,0.0416785638525037,6211,"col1","SS"
"chr21",23400000,23500000,0.0342091075918403,6232,"col1","SS"
"chr21",26100000,26200000,0.0717193424870384,6259,"col1","SS"
"chr22",23800000,23900000,0.0427378870527744,6500,"col2","SS"
"chr22",24100000,24200000,0.0696437795640812,6503,"col2","SS"
"chr23",16900000,17000000,0.0421192233888749,6687,"col1","SS"
"chr23",18500000,18600000,0.0551801418226759,6703,"col1","SS"
"chr23",19100000,19200000,0.0351949839666948,6709,"col1","SS"
"chr24",7000000,7100000,0.0416634803799499,6840,"col2","SS"
"chr24",17500000,17600000,0.034312502210044,6945,"col2","SS"
"chr25",900000,1000000,0.0367456995256285,6979,"col1","SS"
"chr25",1100000,1200000,0.0456396152192137,6981,"col1","SS"
"chr26",3700000,3800000,0.0465858894428886,7156,"col2","SS"
"chr26",10300000,10400000,0.0445039798984815,7222,"col2","SS"
"chr3",13500000,13600000,0.0351596170350936,796,"col1","SS"
"chr3",16500000,16600000,0.0423891524961354,826,"col1","SS"
"chr3",18600000,18700000,0.0477429961674991,847,"col1","SS"
"chr3",20200000,20300000,0.0806231616645001,863,"col1","SS"
"chr3",20600000,20700000,0.0355087115415501,867,"col1","SS"
"chr3",26000000,26100000,0.134492172431609,921,"col1","SS"
"chr4",400000,500000,0.0420281907149526,990,"col2","SS"
"chr4",26900000,27000000,0.0380361974495453,1255,"col2","SS"
"chr4",27000000,27100000,0.0393960286100158,1256,"col2","SS"
"chr5",6200000,6300000,0.0376161349269575,1370,"col1","SS"
"chr6",2400000,2500000,0.0370849292244349,1647,"col2","SS"
"chr6",2900000,3000000,0.0498200168529817,1652,"col2","SS"
"chr6",7300000,7400000,0.0451797916366585,1696,"col2","SS"
"chr6",9500000,9600000,0.0971966745776269,1718,"col2","SS"
"chr6",9900000,10000000,0.0882479338166826,1722,"col2","SS"
"chr6",16500000,16600000,0.0400537274868083,1788,"col2","SS"
"chr6",18400000,18500000,0.053404452917087,1807,"col2","SS"
"chr6",19500000,19600000,0.0453399144537235,1818,"col2","SS"
"chr6",23800000,23900000,0.0371794430229688,1861,"col2","SS"
"chr7",27900000,28000000,0.055548066501351,2216,"col1","SS"
"chr7",29600000,29700000,0.0963925663868405,2233,"col1","SS"
"chr9",26900000,27000000,0.0440129119222973,2822,"col1","SS"
