# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSCHAG00000001039	ENSCHAG00000001039	ENSCHAT00000001638	snoRNA	0	0	0	10	0	0	0	9	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001053	ENSCHAG00000001053	ENSCHAT00000001652	snoRNA	0	0	0	10	0	0	0	9	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001350	ENSCHAG00000001350	ENSCHAT00000002102	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000002206	ENSCHAG00000002206	ENSCHAT00000003885	protein_coding	0	0	0	9	0	0	0	5	2	0	0	0	0	0	0	0	0	2
ENSCHAG00000002206	ENSCHAG00000002206	ENSCHAT00000003902	protein_coding	0	0	0	8	0	0	0	5	2	0	0	0	0	0	0	0	0	1
ENSCHAG00000002232	ENSCHAG00000002232	ENSCHAT00000003931		0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0	0	10
ENSCHAG00000002232	ENSCHAG00000002232	ENSCHAT00000003945		0	0	0	16	0	0	0	4	2	0	1	0	0	0	0	0	0	9
ENSCHAG00000002232	ENSCHAG00000002232	ENSCHAT00000003951		0	0	0	16	0	0	0	4	2	0	1	0	0	0	0	0	0	9
ENSCHAG00000002257	ENSCHAG00000002257	ENSCHAT00000003967		0	0	0	15	0	0	0	5	5	0	2	0	0	0	0	0	0	3
ENSCHAG00000002257	ENSCHAG00000002257	ENSCHAT00000003976		0	0	0	15	0	0	0	5	5	0	2	0	0	0	0	0	0	3
ENSCHAG00000002257	ENSCHAG00000002257	ENSCHAT00000003986		0	0	0	15	0	0	0	7	0	0	5	0	0	0	0	0	0	3
ENSCHAG00000002257	ENSCHAG00000002257	ENSCHAT00000003991		0	0	0	17	0	0	0	12	0	0	0	0	0	0	0	0	0	5
ENSCHAG00000002257	ENSCHAG00000002257	ENSCHAT00000004000		0	0	0	15	0	0	0	10	0	0	0	0	0	0	0	0	0	5
ENSCHAG00000002549	ENSCHAG00000002549	ENSCHAT00000004434	protein_coding	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000002560	ENSCHAG00000002560	ENSCHAT00000004533	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000002670	ENSCHAG00000002670	ENSCHAT00000004578		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000002680	ENSCHAG00000002680	ENSCHAT00000004610	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000002778	ENSCHAG00000002778	ENSCHAT00000008343	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ENSCHAG00000002778	ENSCHAG00000002778	ENSCHAT00000008450	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ENSCHAG00000002778	ENSCHAG00000002778	ENSCHAT00000008607	protein_coding	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	1
ENSCHAG00000002778	ENSCHAG00000002778	ENSCHAT00000008675	protein_coding	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	1
ENSCHAG00000002778	ENSCHAG00000002778	ENSCHAT00000008877	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ENSCHAG00000003046	ENSCHAG00000003046	ENSCHAT00000005227	protein_coding	0	7	6	17	0	1	4	6	3	6	0	0	0	0	0	0	6	4
ENSCHAG00000003046	ENSCHAG00000003046	ENSCHAT00000005251	protein_coding	1	6	6	14	0	0	0	6	2	6	0	0	0	0	1	0	6	6
ENSCHAG00000003086	ENSCHAG00000003086	ENSCHAT00000005296		0	0	0	17	0	0	0	8	0	0	0	0	0	0	0	0	0	9
ENSCHAG00000003095	ENSCHAG00000003095	ENSCHAT00000005353	protein_coding	0	0	5	121	0	0	0	5	114	5	0	0	0	1	0	0	0	2
ENSCHAG00000003128	ENSCHAG00000003128	ENSCHAT00000005369	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000003136	ENSCHAG00000003136	ENSCHAT00000005411	protein_coding	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	2
ENSCHAG00000003157	ENSCHAG00000003157	ENSCHAT00000005507	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000003200	ENSCHAG00000003200	ENSCHAT00000005570	protein_coding	0	1	1	9	0	0	0	1	8	1	0	0	0	0	0	0	1	0
ENSCHAG00000003200	ENSCHAG00000003200	ENSCHAT00000005639	protein_coding	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0
ENSCHAG00000003271	ENSCHAG00000003271	ENSCHAT00000005711	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000003300	ENSCHAG00000003300	ENSCHAT00000005738	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000003307	ENSCHAG00000003307	ENSCHAT00000005784	protein_coding	0	3	2	39	0	0	0	34	1	2	0	0	0	0	0	0	3	4
ENSCHAG00000003339	ENSCHAG00000003339	ENSCHAT00000005809	protein_coding	0	3	4	24	0	1	1	0	19	4	0	0	0	0	0	0	2	4
ENSCHAG00000003339	ENSCHAG00000003339	ENSCHAT00000005845	protein_coding	0	4	8	19	8	1	1	3	3	8	0	0	0	0	0	0	3	4
ENSCHAG00000003371	ENSCHAG00000003371	ENSCHAT00000005879	protein_coding	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ENSCHAG00000003631	ENSCHAG00000003631	ENSCHAT00000006437		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000003668	ENSCHAG00000003668	ENSCHAT00000006615	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000004852	ENSCHAG00000004852	ENSCHAT00000008915		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000004860	ENSCHAG00000004860	ENSCHAT00000009505	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000005805	ENSCHAG00000005805	ENSCHAT00000011409	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000005805	ENSCHAG00000005805	ENSCHAT00000011470	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000005944	ENSCHAG00000005944	ENSCHAT00000011517	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000006091	ENSCHAG00000006091	ENSCHAT00000011857	protein_coding	0	0	1	4	0	0	0	3	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000006116	ENSCHAG00000006116	ENSCHAT00000011934	protein_coding	0	0	0	16	0	0	0	3	5	0	0	0	0	0	0	0	0	8
ENSCHAG00000006116	ENSCHAG00000006116	ENSCHAT00000011950	protein_coding	0	0	0	16	0	0	0	3	5	0	0	0	0	0	0	0	0	8
ENSCHAG00000006116	ENSCHAG00000006116	ENSCHAT00000011968	protein_coding	0	0	0	16	0	0	0	3	5	0	0	0	0	0	0	0	0	8
ENSCHAG00000006116	ENSCHAG00000006116	ENSCHAT00000012004	protein_coding	0	0	0	16	0	0	0	3	5	0	0	0	0	0	0	0	0	8
ENSCHAG00000006211	ENSCHAG00000006211	ENSCHAT00000012187	protein_coding	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000006409	ENSCHAG00000006409	ENSCHAT00000012648		0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	4
ENSCHAG00000006412	ENSCHAG00000006412	ENSCHAT00000012695	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000006442	ENSCHAG00000006442	ENSCHAT00000012722		0	0	0	15	0	0	0	12	0	0	1	0	0	0	0	0	0	2
ENSCHAG00000006445	ENSCHAG00000006445	ENSCHAT00000012734	protein_coding	0	0	0	26	0	0	0	4	11	0	0	0	0	0	0	0	0	11
ENSCHAG00000006445	ENSCHAG00000006445	ENSCHAT00000012750	protein_coding	0	0	0	26	0	0	0	4	11	0	0	0	0	0	0	0	0	11
ENSCHAG00000006764	ENSCHAG00000006764	ENSCHAT00000014035	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000006764	ENSCHAG00000006764	ENSCHAT00000014092	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000006764	ENSCHAG00000006764	ENSCHAT00000014135	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000006764	ENSCHAG00000006764	ENSCHAT00000014203	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000007146	ENSCHAG00000007146	ENSCHAT00000014494	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000007446	ENSCHAG00000007446	ENSCHAT00000015061		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000008112	ENSCHAG00000008112	ENSCHAT00000016669	protein_coding	0	0	0	11	0	0	0	1	10	0	0	0	0	0	0	0	0	0
ENSCHAG00000008112	ENSCHAG00000008112	ENSCHAT00000016742	protein_coding	0	0	0	11	0	0	0	1	10	0	0	0	0	0	0	0	0	0
ENSCHAG00000008214	ENSCHAG00000008214	ENSCHAT00000016946	protein_coding	0	0	0	37	0	0	0	0	37	0	0	0	0	0	0	0	0	0
ENSCHAG00000009040	ENSCHAG00000009040	ENSCHAT00000018893	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000009040	ENSCHAG00000009040	ENSCHAT00000018899	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000009090	ENSCHAG00000009090	ENSCHAT00000018970		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000009091	ENSCHAG00000009091	ENSCHAT00000018972		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000009092	ENSCHAG00000009092	ENSCHAT00000018989	pseudogene	0	0	0	8	0	0	0	2	0	0	2	0	0	0	0	0	0	4
ENSCHAG00000009112	ENSCHAG00000009112	ENSCHAT00000019034		0	0	0	5	0	0	0	4	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000009115	ENSCHAG00000009115	ENSCHAT00000019037	protein_coding	0	0	0	5	0	0	0	4	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000009123	ENSCHAG00000009123	ENSCHAT00000019107	protein_coding	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000009184	ENSCHAG00000009184	ENSCHAT00000019355	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSCHAG00000009184	ENSCHAG00000009184	ENSCHAT00000019380	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000009184	ENSCHAG00000009184	ENSCHAT00000019442	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000009184	ENSCHAG00000009184	ENSCHAT00000019479	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000009288	ENSCHAG00000009288	ENSCHAT00000020302	protein_coding	0	1	0	28	0	0	0	0	25	0	0	0	0	0	0	0	1	3
ENSCHAG00000009288	ENSCHAG00000009288	ENSCHAT00000020324	protein_coding	0	1	0	28	0	0	0	0	25	0	0	0	0	0	0	0	1	3
ENSCHAG00000009308	ENSCHAG00000009308	ENSCHAT00000020089	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSCHAG00000009308	ENSCHAG00000009308	ENSCHAT00000020102	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSCHAG00000009308	ENSCHAG00000009308	ENSCHAT00000020154	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCHAG00000009308	ENSCHAG00000009308	ENSCHAT00000020183	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCHAG00000009308	ENSCHAG00000009308	ENSCHAT00000020219	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCHAG00000009350	ENSCHAG00000009350	ENSCHAT00000019694		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000009371	ENSCHAG00000009371	ENSCHAT00000019774	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ENSCHAG00000009387	ENSCHAG00000009387	ENSCHAT00000019791		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000009390	ENSCHAG00000009390	ENSCHAT00000019798		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000009393	ENSCHAG00000009393	ENSCHAT00000019810	protein_coding	0	0	1	17	0	0	0	4	13	1	0	0	0	0	0	0	0	0
ENSCHAG00000009393	ENSCHAG00000009393	ENSCHAT00000019855	protein_coding	0	0	1	13	0	0	0	0	13	1	0	0	0	0	0	0	0	0
ENSCHAG00000009393	ENSCHAG00000009393	ENSCHAT00000019878	protein_coding	0	0	1	13	0	0	0	0	13	1	0	0	0	0	0	0	0	0
ENSCHAG00000009394	ENSCHAG00000009394	ENSCHAT00000019804		0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	3
ENSCHAG00000009394	ENSCHAG00000009394	ENSCHAT00000019809		0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	3
ENSCHAG00000009398	ENSCHAG00000009398	ENSCHAT00000019830	protein_coding	0	2	0	15	0	2	3	3	6	0	0	0	0	0	0	0	0	3
ENSCHAG00000009443	ENSCHAG00000009443	ENSCHAT00000023412	protein_coding	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	2
ENSCHAG00000009443	ENSCHAG00000009443	ENSCHAT00000023940	protein_coding	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	2
ENSCHAG00000009604	ENSCHAG00000009604	ENSCHAT00000020384	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000009604	ENSCHAG00000009604	ENSCHAT00000020394	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021773	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021838	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021855	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021902	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021970	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000021988	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000010132	ENSCHAG00000010132	ENSCHAT00000022039	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSCHAG00000010247	ENSCHAG00000010247	ENSCHAT00000023035	pseudogene	0	0	0	21	0	0	0	0	18	0	3	0	0	0	0	0	0	0
ENSCHAG00000010532	ENSCHAG00000010532	ENSCHAT00000022749		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSCHAG00000010535	ENSCHAG00000010535	ENSCHAT00000022777	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000010549	ENSCHAG00000010549	ENSCHAT00000022807	protein_coding	0	0	0	10	0	0	0	1	8	0	0	0	0	0	0	0	0	1
ENSCHAG00000010549	ENSCHAG00000010549	ENSCHAT00000022824	protein_coding	0	0	0	10	0	0	0	1	8	0	0	0	0	0	0	0	0	1
ENSCHAG00000010578	ENSCHAG00000010578	ENSCHAT00000022873	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000010770	ENSCHAG00000010770	ENSCHAT00000023376	snoRNA	0	0	0	21	0	0	0	19	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000010774	ENSCHAG00000010774	ENSCHAT00000023383	snoRNA	0	0	0	22	0	0	0	16	0	0	1	0	0	0	0	0	0	5
ENSCHAG00000010776	ENSCHAG00000010776	ENSCHAT00000023387	snoRNA	0	0	0	22	0	0	0	14	0	0	0	0	0	0	0	0	0	8
ENSCHAG00000011082	ENSCHAG00000011082	ENSCHAT00000024162	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ENSCHAG00000011912	ENSCHAG00000011912	ENSCHAT00000026338		0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000011913	ENSCHAG00000011913	ENSCHAT00000026413	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ENSCHAG00000011943	ENSCHAG00000011943	ENSCHAT00000026425		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000012089	ENSCHAG00000012089	ENSCHAT00000027071	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000012205	ENSCHAG00000012205	ENSCHAT00000027133	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000012766	ENSCHAG00000012766	ENSCHAT00000028547	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000012774	ENSCHAG00000012774	ENSCHAT00000028572	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSCHAG00000012774	ENSCHAG00000012774	ENSCHAT00000028596	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSCHAG00000013043	ENSCHAG00000013043	ENSCHAT00000029153	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000013549	ENSCHAG00000013549	ENSCHAT00000030491	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000013549	ENSCHAG00000013549	ENSCHAT00000030510	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000013592	ENSCHAG00000013592	ENSCHAT00000030560	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000013614	ENSCHAG00000013614	ENSCHAT00000030640	protein_coding	0	1	1	31	0	0	0	4	18	1	0	0	0	0	0	0	1	9
ENSCHAG00000013636	ENSCHAG00000013636	ENSCHAT00000030663	protein_coding	0	0	1	74	0	0	0	2	72	1	0	0	0	0	0	0	0	0
ENSCHAG00000013767	ENSCHAG00000013767	ENSCHAT00000030998	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
ENSCHAG00000013781	ENSCHAG00000013781	ENSCHAT00000031053	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000013791	ENSCHAG00000013791	ENSCHAT00000031069		0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	3
ENSCHAG00000015068	ENSCHAG00000015068	ENSCHAT00000034224	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000015097	ENSCHAG00000015097	ENSCHAT00000034265		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000015261	ENSCHAG00000015261	ENSCHAT00000034629		0	0	0	19	0	0	0	9	1	0	1	0	0	0	0	0	0	8
ENSCHAG00000015261	ENSCHAG00000015261	ENSCHAT00000034631		0	0	0	14	0	0	0	9	1	0	1	0	0	0	0	0	0	3
ENSCHAG00000015267	ENSCHAG00000015267	ENSCHAT00000034633	protein_coding	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	8
ENSCHAG00000015319	ENSCHAG00000015319	ENSCHAT00000034719		0	0	0	9	0	0	0	3	3	0	0	0	0	0	0	0	0	3
ENSCHAG00000015319	ENSCHAG00000015319	ENSCHAT00000034720		0	0	0	9	0	0	0	5	0	0	1	0	0	0	0	0	0	3
ENSCHAG00000015321	ENSCHAG00000015321	ENSCHAT00000034722		0	0	0	9	0	0	0	3	1	0	0	0	0	0	0	0	0	5
ENSCHAG00000015468	ENSCHAG00000015468	ENSCHAT00000035048		0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000015474	ENSCHAG00000015474	ENSCHAT00000035061	protein_coding	0	0	0	5	0	0	0	1	2	0	0	0	0	0	0	0	0	2
ENSCHAG00000015474	ENSCHAG00000015474	ENSCHAT00000035075	protein_coding	0	0	0	5	0	0	0	1	2	0	0	0	0	0	0	0	0	2
