"N","High level GO category","Genes"
30,"Signaling "," diaph2  nsg2  si:dkey-27j5.5  rel  or108-3  mylipa  rassf6  lpar1  kctd13  sfrp5  zdhhc16a  nlk1  dvl1a  ARHGAP22  si:ch211-185a18.2  mcf2a  wnt11  P2RY4  fam13b  wnt3  arr3b  traf1  gnrhr2  dab2ipa  stat1a  nell2b  arr3a  S1PR5  her6"
28,"Anatomical structure morphogenesis "," diaph2  rab11a  sox9a  smyd4  mylipa  lpar1  kctd13  sfrp5  cacna1c  plekhg5a  skib  slit3  ep300b  xpnpep3  pcdh18b  pdcd2l  epcam  esama  wnt11  wnt3  igdcc4  cdk5r1b  MYO1D  cpt1aa  dab2ipa  ap1m2  her6  opa1"
27,"Localization "," ATP6V0E1  bnip1b  diaph2  rab11a  pex13  slc24a1  kcnab2a  cacna1c  slc25a55a  slc5a8l  slc16a1a  plekhg5a  utp3  slc7a11  cygb2  atp11c  srp68  epcam  wnt11  P2RY4  cxcl14  nsfb  scamp5b  MYO1D  SLCO3A1  prickle1b  ap1m2"
27,"Biosynthetic process "," si:dkey-217f16.6  crebrf  CPEB4  b3gnt2b  msx2b  rel  sox9a  pitx1  meox2b  zfhx4  camta1a  foxj3  ep300b  PRPSAP1  tbpl2  polg2  mnx2a  st3gal3a  ahr2  INPP1  NAB1  dmbx1b  stat1a  yaf2  her6  ASCL4  mier1a"
25,"Regulation of metabolic process "," si:dkey-217f16.6  crebrf  CPEB4  msx2b  rel  sox9a  smyd4  pitx1  meox2b  zfhx4  camta1a  ppp6r2a  foxj3  ep300b  cpt1aa  mnx2a  ahr2  NAB1  dmbx1b  stat1a  yaf2  rbfox2  her6  ASCL4  mier1a"
21,"Establishment of localization "," ATP6V0E1  bnip1b  diaph2  rab11a  pex13  slc24a1  kcnab2a  cacna1c  slc25a55a  slc5a8l  slc16a1a  slc7a11  cygb2  atp11c  srp68  P2RY4  nsfb  scamp5b  MYO1D  SLCO3A1  ap1m2"
18,"Cellular component organization or biogenesis "," diaph2  nsg2  pex13  actr3  kctd13  dkc1  mrto4  slit3  pcdh18b  atp11c  evpla  nsfb  igdcc4  psmd11b  fscn2b  katnb1  twf1b  opa1"
17,"Cellular component organization "," diaph2  nsg2  pex13  actr3  kctd13  mrto4  slit3  pcdh18b  atp11c  evpla  nsfb  igdcc4  psmd11b  fscn2b  katnb1  twf1b  opa1"
10,"Negative regulation of biological process "," si:dkey-217f16.6  smyd4  mylipa  kctd13  nlk1  slit3  dab2ipa  NAB1  twf1b  yaf2"
10,"Anatomical structure formation involved in morphogenesis "," rab11a  sox9a  lpar1  sfrp5  plekhg5a  esama  cdk5r1b  cpt1aa  dab2ipa  her6"
9,"Positive regulation of biological process "," rel  meox2b  actr3  kctd13  sfrp5  nlk1  dab2ipa  ahr2  yaf2"
8,"Catabolic process "," PCYOX1L  pgam1a  psma3  acox1  cpt1aa  INPP1  HMOX1"
8,"Response to chemical "," crebrf  nsg2  sfrp5  zdhhc16a  cxcl14  igdcc4  dab2ipa  ahr2"
8,"Cellular component biogenesis "," diaph2  nsg2  actr3  kctd13  dkc1  mrto4  psmd11b  twf1b"
8,"Regulation of biological quality "," edn1  actr3  slit3  f9a  atp11c  esama  ormdl3  twf1b"
7,"Locomotion "," diaph2  plekhg5a  epcam  wnt11  cxcl14  igdcc4  prickle1b"
7,"Response to stress "," crebrf  hsp90b1  f9a  polg2  esama  faap100  wdr76"
7,"Regulation of multicellular organismal process "," edn1  nlk1  cacna1c  slit3  dab2ipa  dmbx1b  her6"
6,"Immune system process "," lpar1  pomcb  dkc1  tbpl2  hsp90b1  cxcl14"
6,"Regulation of signaling "," diaph2  mylipa  kctd13  sfrp5  nlk1  dab2ipa"
6,"Macromolecule localization "," pex13  utp3  atp11c  srp68  scamp5b  ap1m2"
6,"Regulation of response to stimulus "," diaph2  mylipa  kctd13  sfrp5  nlk1  dab2ipa"
6,"Cell motility "," diaph2  plekhg5a  epcam  wnt11  cxcl14  prickle1b"
6,"Regulation of developmental process "," pomcb  nlk1  slit3  dab2ipa  dmbx1b  her6"
6,"Cellular localization "," diaph2  rab11a  pex13  utp3  srp68  ap1m2"
6,"Localization of cell "," diaph2  plekhg5a  epcam  wnt11  cxcl14  prickle1b"
5,"Biological adhesion "," mxra8a  pcdh18b  epcam  esama  igdcc4"
5,"Cell adhesion "," mxra8a  pcdh18b  epcam  esama  igdcc4"
5,"Response to external stimulus "," hsp90b1  mogat2  cxcl14  nsfb  igdcc4"
5,"Regulation of molecular function "," smyd4  ppp6r2a  sbf1  dab2ipa"
4,"Immune system development "," lpar1  pomcb  dkc1  tbpl2"
4,"Pigmentation "," rab11a  cx39.4  uvrag  nsfb"
3,"System process "," edn1  cacna1c  pde6ha"
3,"Response to endogenous stimulus "," nsg2  sfrp5  zdhhc16a"
2,"Reproduction "," diaph2  ahr2"
2,"Reproductive process "," diaph2  ahr2"
2,"Growth "," cacna1c  slit3"
2,"Protein folding "," cct2  hsp90b1"
2,"Immune response "," hsp90b1  cxcl14"
2,"Cell population proliferation "," kctd13  dab2ipa"
2,"Response to biotic stimulus "," hsp90b1  mogat2"
2,"Multicellular organism reproduction "," diaph2  ahr2"
2,"Taxis "," cxcl14  igdcc4"
2,"Regulation of cellular component biogenesis "," actr3  twf1b"
2,"Biological process involved in interspecies interaction between organisms "," hsp90b1  mogat2"
2,"Developmental growth "," cacna1c  slit3"
2,"Response to other organism "," hsp90b1  mogat2"
1,"Multi-organism process "," diaph2"
1,"Developmental process involved in reproduction "," ahr2"
1,"Response to abiotic stimulus "," hsp90b1"
1,"Cell growth "," slit3"
1,"Sexual reproduction "," diaph2"
1,"Cell cycle process "," diaph2"
1,"Regulation of growth "," slit3"
1,"Multi-organism reproductive process "," diaph2"
1,"Multicellular organismal reproductive process "," diaph2"
