"N","High level GO category","Genes"
14,"Transmembrane transporter activity "," kcnd3  slc46a2  slc13a4  atp5f1c  zgc:162160  scn1ba  sv2  cox4i1  abcc9  kcnj8  slc17a9a  atp2b3a  ndufaf2  slc2a5"
14,"Signaling receptor activity "," robo1  HTR1B  plxnb2a  abcc9  or101-1  OR10S1  ghsrb  il7r  vipr2  epha4a  gpr157"
10,"Oxidoreductase activity "," qsox2  aldh18a1  pah  th2  pcyox1  kdm6ba  ppox  cox4i1  PTGES2  ndufaf2"
9,"Enzyme regulator activity "," prkar1b  arhgdia  ralgps1  chn2  arhgef37  itih2  arhgap33  itih5  dock8"
6,"Lyase activity "," npr1a  si:dkey-206f10.1  CHAC1  ca7  eno1a  ca6"
4,"Lipid binding "," fabp11a  arhgap33  snx14  pld1b"
4,"Isomerase activity "," pdia8  fkbp3  PTGES2  pgm5"
4,"Ligase activity "," ASS1  atp5f1c  nae1  PC"
4,"Signaling receptor regulator activity "," PGF  igf1  pomcb  ccl34a.3"
4,"Receptor ligand activity "," PGF  igf1  pomcb  ccl34a.3"
3,"Guanyl-nucleotide exchange factor activity "," ralgps1  arhgef37  dock8"
3,"Channel regulator activity "," si:ch211-225p5.8  scn1ba  rrad"
3,"Sulfur compound binding "," acbd3  hacl1  PC"
2,"Electron transfer activity "," cox4i1  ndufaf2"
2,"Translation regulator activity "," EIF5  eif3f"
2,"Amide binding "," acbd3  PC"
2,"Protein-containing complex binding "," myo6a  myo5b"
2,"Translation regulator activity, nucleic acid binding "," EIF5  eif3f"
1,"Structural molecule activity "," faua"
1,"Structural constituent of ribosome "," faua"
1,"Cytochrome-c oxidase activity "," cox4i1"
1,"Cyclase activity "," si:dkey-206f10.1"
1,"Carbohydrate binding "," man2b1"
1,"Demethylase activity "," kdm6ba"
1,"Quaternary ammonium group binding "," hacl1"
1,"Fatty acid derivative binding "," acbd3"
