"N","High level GO category","Genes"
53,"Signaling "," cdc42se2  ank1a  scube3  rassf2b  plcb3  arhgdia  rel  npr1a  mad1l1  akap12b  syn1  coa8  tcf7l2  gapvd1  ralgps1  angptl2b  dlk2  si:dkey-206f10.1  creb3l2  robo1  pkn3  chn2  gata3  tmem198b  tmem88b  arhgap33  nlgn2a  HTR1B  plxnb2a  DLL4  RHOV  or101-1  gid8a  si:dkey-70p6.1  dock8  OR10S1  emilin3a  DIRAS2  syk  pld1b  ror2  rrad  ghsrb  zmynd11  vipr2  wnt5b  epha4a  rerea  gpr157  spsb1"
46,"Biosynthetic process "," ebf2  sptlc1  tfec  meis2a  aldh18a1  rel  npr1a  ascl1a  UNCX  faua  vgll4l  EIF5  cipcb  th2  tbx5a  lmx1bb  lin9  eif3f  si:dkey-206f10.1  ssbp1  creb3l2  fubp3  MAF  ASS1  creb5b  jazf1b  hoxa13b  hoxa11b  gata3  atp5f1c  ppox  fli1b  etv2  tfb2m  pomt2  gins2  irf8  lin52  vsx2  pld1b  nfil3  prkcbp1l  NR2F1  foxd5  PC  rerea"
38,"Anatomical structure morphogenesis "," prnpb  rbm24b  meis2a  plcb3  npr1a  ascl1a  akap12b  vgll4l  arf6a  actr10  tbx5a  lmx1bb  mixl1  angptl2b  atp1a2a  dlk2  robo2  robo1  fat3a  gata3  DPYSL2  slit3  kdm6ba  dyrk1b  myo6a  fli1b  etv2  smyd3  emilin3a  syk  ror2  tbcc  myo5b  foxd5  pgm5  wnk1b  wnt5b  rerea"
36,"Localization "," kcnd3  scfd2  slc46a2  GOLT1B  plcb3  kif13a  pex13  akap12b  syn1  exoc3l4  actr10  atp1a2a  slc13a4  rab14l  creb3l2  robo1  gata3  atp5f1c  arhgap33  zgc:162160  myo6a  si:ch211-225p5.8  scn1ba  sv2  abcc9  kcnj8  wdr34  slc17a9a  atp2b3a  syk  rrad  dync1li2  zgc:113278  myo5b  wnt5b  slc2a5"
35,"Regulation of metabolic process "," ebf2  prkar1b  prnpb  tfec  meis2a  rel  recql5  ascl1a  UNCX  vgll4l  cipcb  tbx5a  lmx1bb  parpbp  creb3l2  fubp3  MAF  creb5b  jazf1b  hoxa13b  hoxa11b  gata3  fli1b  etv2  tfb2m  irf8  vsx2  nfil3  prkcbp1l  NR2F1  fam172a  slf1  foxd5  ppp1r14bb  rerea"
31,"Establishment of localization "," kcnd3  scfd2  slc46a2  GOLT1B  plcb3  kif13a  pex13  syn1  exoc3l4  actr10  atp1a2a  slc13a4  rab14l  creb3l2  atp5f1c  arhgap33  zgc:162160  si:ch211-225p5.8  scn1ba  sv2  abcc9  kcnj8  wdr34  slc17a9a  atp2b3a  rrad  dync1li2  zgc:113278  myo5b  wnt5b  slc2a5"
25,"Cellular component organization or biogenesis "," kcnd3  prnpb  pex13  npr1a  ascl1a  mad1l1  akap12b  unm_hu7912  actr10  coa6  rab14l  creb3l2  robo2  robo1  DPYSL2  slit3  nlgn2a  snx14  tfb2m  setb  wdr34  sptan1  dync1li2  myo5b  pgm5"
24,"Cellular component organization "," kcnd3  prnpb  pex13  npr1a  ascl1a  mad1l1  akap12b  unm_hu7912  actr10  coa6  rab14l  creb3l2  robo2  robo1  DPYSL2  slit3  nlgn2a  snx14  setb  wdr34  sptan1  dync1li2  myo5b  pgm5"
18,"Negative regulation of biological process "," plcb3  recql5  ascl1a  mad1l1  akap12b  cipcb  dlk2  parpbp  robo2  jazf1b  hoxa13b  slit3  tmem88b  si:dkey-70p6.1  rrad  zmynd11  wnt5b  rerea"
18,"Anatomical structure formation involved in morphogenesis "," rbm24b  ascl1a  actr10  tbx5a  lmx1bb  mixl1  angptl2b  dlk2  robo1  gata3  dyrk1b  fli1b  etv2  syk  foxd5  pgm5  wnk1b  wnt5b"
16,"Regulation of response to stimulus "," cdc42se2  akap12b  ralgps1  angptl2b  dlk2  parpbp  robo2  tmem198b  tmem88b  gid8a  si:dkey-70p6.1  emilin3a  slf1  zmynd11  wnt5b  rerea"
15,"Positive regulation of biological process "," rel  ascl1a  akap12b  tbx5a  angptl2b  creb3l2  gata3  tmem198b  etv2  bnip3la  gid8a  si:dkey-70p6.1  syk  slf1  wnt5b"
14,"Immune system process "," CDIN1  angptl2b  ncoa4  pomcb  rab14l  gata3  taf3  etv2  pycard  irf8  si:dkey-70p6.1  nfil3  wnt5b  ccl34a.3"
13,"Regulation of signaling "," cdc42se2  akap12b  ralgps1  angptl2b  dlk2  tmem198b  tmem88b  nlgn2a  gid8a  emilin3a  zmynd11  wnt5b  rerea"
13,"Regulation of biological quality "," CDIN1  plcb3  edn1  syn1  tcf7l2  atp1a2a  ncoa4  robo2  DPYSL2  slit3  HTR1B  myo5b  wnt5b"
12,"Cellular localization "," scfd2  kif13a  pex13  syn1  actr10  rab14l  creb3l2  wdr34  dync1li2  zgc:113278  myo5b  wnt5b"
11,"Catabolic process "," plcb3  pah  galt  dnph1  pcyox1  nt5e  psmc4  snx14  CHAC1  dnase1l1l  eno1a"
11,"Response to chemical "," npr1a  pah  tcf7l2  creb3l2  robo2  robo1  gata3  DPYSL2  nt5e  zmynd11  rerea"
10,"Growth "," npr1a  ascl1a  akap12b  tbx5a  robo2  gata3  DPYSL2  slit3  myo5b  wnt5b"
10,"Locomotion "," npr1a  akap12b  atp1a2a  robo2  robo1  gata3  DPYSL2  myo6a  syk  wnt5b"
10,"System process "," plcb3  edn1  tcf7l2  atp1a2a  robo2  impg1a  HTR1B  abcc9  prph2a  myo5b"
10,"Developmental growth "," npr1a  ascl1a  akap12b  tbx5a  robo2  gata3  DPYSL2  slit3  myo5b  wnt5b"
9,"Immune system development "," CDIN1  angptl2b  ncoa4  pomcb  gata3  taf3  etv2  irf8  wnt5b"
9,"Regulation of developmental process "," dlk2  pomcb  robo2  gata3  taf3  DPYSL2  slit3  irf8  wnt5b"
8,"Response to stress "," ascl1a  parpbp  rab14l  creb3l2  pycard  cox4i1  fancc  slf1"
8,"Cellular component biogenesis "," kcnd3  prnpb  akap12b  actr10  coa6  tfb2m  setb  pgm5"
8,"Regulation of multicellular organismal process "," edn1  dlk2  robo2  gata3  slit3  irf8  abcc9  syk"
7,"Response to external stimulus "," npr1a  atp1a2a  rab14l  robo2  robo1  DPYSL2  pycard"
7,"Regulation of localization "," plcb3  creb3l2  gata3  syk  rrad  dync1li2  wnt5b"
6,"Biological adhesion "," prnpb  fat3a  gata3  nlgn2a  si:dkey-70p6.1  cdh16"
6,"Cell adhesion "," prnpb  fat3a  gata3  nlgn2a  si:dkey-70p6.1  cdh16"
6,"Cell motility "," akap12b  robo1  gata3  myo6a  syk  wnt5b"
6,"Localization of cell "," akap12b  robo1  gata3  myo6a  syk  wnt5b"
5,"Immune response "," rab14l  pycard  si:dkey-70p6.1  nfil3  ccl34a.3"
5,"Taxis "," npr1a  atp1a2a  robo2  robo1  DPYSL2"
4,"Response to endogenous stimulus "," pah  gata3  zmynd11  rerea"
4,"Cell growth "," robo2  DPYSL2  slit3  wnt5b"
4,"Macromolecule localization "," pex13  arhgap33  zgc:113278  myo5b"
4,"Regulation of molecular function "," prnpb  gapvd1  chn2  rrad"
3,"Regulation of immune system process "," gata3  irf8  si:dkey-70p6.1"
3,"Cell population proliferation "," npr1a  gata3  ppdpfa"
3,"Cell cycle process "," mad1l1  mei4  dync1li2"
3,"Regulation of cell adhesion "," prnpb  gata3  si:dkey-70p6.1"
3,"Regulation of growth "," robo2  DPYSL2  slit3"
3,"Regulation of locomotion "," robo2  gata3  syk"
2,"Reproduction "," mea1  mei4"
2,"Behavior "," HTR1B  ca6"
2,"Reproductive process "," mea1  mei4"
2,"Rhythmic process "," cipcb  nfil3"
2,"Myeloid cell homeostasis "," CDIN1  ncoa4"
2,"Protein folding "," trap1  tbcc"
2,"Circadian rhythm "," cipcb  nfil3"
2,"Response to biotic stimulus "," rab14l  pycard"
2,"Biological process involved in interspecies interaction between organisms "," rab14l  pycard"
2,"Leukocyte activation "," gata3  si:dkey-70p6.1"
2,"Response to other organism "," rab14l  pycard"
1,"Multi-organism process "," mea1"
1,"Activation of immune response "," si:dkey-70p6.1"
1,"Developmental process involved in reproduction "," mea1"
1,"Autophagy "," snx14"
1,"Neurotransmitter secretion "," syn1"
1,"Locomotory behavior "," ca6"
1,"Response to abiotic stimulus "," cox4i1"
1,"Sexual reproduction "," mea1"
1,"Methylation "," tfb2m"
1,"Multicellular organism reproduction "," mea1"
1,"Regulation of circadian rhythm "," cipcb"
1,"Response to estrogen "," pah"
1,"Multi-organism reproductive process "," mea1"
1,"Multicellular organismal reproductive process "," mea1"
1,"Regulation of behavior "," HTR1B"
1,"Maintenance of location "," wnt5b"
1,"Meiotic cell cycle process "," mei4"
