"N","High level GO category","Genes"
33,"Localization "," scfd2  diaph2  slc39a6  akap12b  nup62l  cnga2a  tfg  atp1a2a  ipo7  magt1  megf8  sybl1  trpm1b  slc26a2  tsg101a  zgc:123278  sv2  mfsd2aa  abcc9  kcnj8  sft2d1  syt1b  trappc2l  slc25a38b  abcb7  prickle1b  pmpcb  slc25a26  slc25a36b  wnt5b  prickle2b  fgf8a  slc2a15a"
29,"Establishment of localization "," scfd2  diaph2  slc39a6  nup62l  cnga2a  tfg  atp1a2a  ipo7  magt1  sybl1  trpm1b  slc26a2  tsg101a  zgc:123278  sv2  mfsd2aa  abcc9  kcnj8  sft2d1  syt1b  trappc2l  slc25a38b  abcb7  pmpcb  slc25a26  slc25a36b  wnt5b  prickle2b  slc2a15a"
26,"Cellular component organization or biogenesis "," map7d1b  oscp1a  diaph2  akap12b  top2b  cnga2a  pls3  jagn1a  tfg  atg5  plppr4b  trpm1b  tmem41b  anln  slit3  il6st  cenpn  myh10  tfb2m  DST  rapsn    piezo1  pmpcb  prickle2b  fgf8a"
25,"Cellular component organization "," map7d1b  oscp1a  diaph2  akap12b  top2b  cnga2a  pls3  jagn1a  tfg  atg5  plppr4b  trpm1b  tmem41b  anln  slit3  il6st  cenpn  myh10  DST  rapsn    piezo1  pmpcb  prickle2b  fgf8a"
25,"Cellular response to stimulus "," fgf16  diaph2  ank1a  pdgfra  gtf2h5  rps6ka5  akap12b  nup62l  kita  trpm1b  rps6kal  psd3l  magi2a  htr4  pde6a  il6st  pde10a  hrasa  lhcgr  slf1  nell2b  rhol  wnt5b  epha4a  fgf8a"
24,"Signaling "," fgf16  diaph2  ank1a  pdgfra  rps6ka5  akap12b  nup62l  kita  trpm1b  rps6kal  psd3l  magi2a  htr4  pde6a  pde10a  hrasa  lhcgr  rapsn  syt1b  nell2b  rhol  wnt5b  epha4a  fgf8a"
23,"Anatomical structure morphogenesis "," fgf16  diaph2  slc39a6  akap12b  top2b  nup62l  pls3  cdh13  atp1a2a  PALMD  plppr4b  megf8  tmem41b  slc26a2  slit3  ep300b  xpnpep3  smyd3  myh10  tbcc  wnk1b  wnt5b  fgf8a"
22,"Regulation of metabolic process "," ebf2  irx5a  mycla    myrf  ccnt2b  clocka  AGBL4  shox2  POU3F4  ep300b  tfb2m  tbxtb  vsx2  supt4h1  NR2F1  fam172a  slf1  cbfa2t3  sox6  pcgf6"
14,"Cellular component biogenesis "," oscp1a  diaph2  akap12b  cnga2a  pls3  tfg  atg5  trpm1b  cenpn  tfb2m  rapsn    prickle2b  fgf8a"
12,"Regulation of response to stimulus "," diaph2  akap12b  nup62l  kita  atg5  C3  psd3l  il6st  slf1  wnt5b  fgf8a"
12,"Regulation of biological quality "," edn1  atp1a2a  PALMD  htr4  slit3  myh10  syt1b  piezo1  slc25a38b  wnt5b  cnnm2a  cyp17a1"
11,"Locomotion "," diaph2  slc39a6  akap12b  top2b  pls3  atp1a2a  megf8  tmem41b  prickle1b  wnt5b  fgf8a"
10,"Positive regulation of biological process "," akap12b  nup62l  clocka  C3  il6st  supt4h1  slf1  wnt5b  fgf8a"
10,"Cellular localization "," scfd2  diaph2  nup62l  tfg  ipo7  syt1b  trappc2l  pmpcb  wnt5b  prickle2b"
9,"System process "," edn1  atp1a2a  shox2  anln  slc26a2  pde6a  abcc9  prph2a  rhol"
9,"Response to external stimulus "," top2b  pls3  cib2  atp1a2a  atg5  tmem41b  htr4  il6st  rhol"
9,"Negative regulation of biological process "," akap12b  nup62l  AGBL4  snx7  slit3  cbfa2t3  wnt5b  pcgf6  fgf8a"
8,"Immune system process "," myct1a  kita  clocka  C3  piezo1  slc25a38b  wnt5b"
8,"Regulation of developmental process "," irx5a  atg5  PALMD  slit3  il6st  myh10  wnt5b  fgf8a"
7,"Response to chemical "," fgf16  top2b  nup62l  pls3  kita  tmem41b  fgf8a"
7,"Cell motility "," diaph2  slc39a6  akap12b  megf8  prickle1b  wnt5b  fgf8a"
7,"Regulation of multicellular organismal process "," irx5a  edn1  atg5  shox2  slit3  abcc9  fgf8a"
7,"Localization of cell "," diaph2  slc39a6  akap12b  megf8  prickle1b  wnt5b  fgf8a"
6,"Response to abiotic stimulus "," clocka  cib2  DNAJA4  trpm1b  ldha  rhol"
6,"Regulation of signaling "," diaph2  akap12b  nup62l  psd3l  wnt5b  fgf8a"
5,"Biological adhesion "," si:dkey-22o22.2  cdh13  pcdh1b  itga9  cdh15"
5,"Growth "," akap12b  atg5  slit3  mgat5  wnt5b"
5,"Response to stress "," gtf2h5  DNAJA4  il6st  ldha  slf1"
5,"Cell adhesion "," si:dkey-22o22.2  cdh13  pcdh1b  itga9  cdh15"
5,"Catabolic process "," hadhab  galt  atg5  aldob  ngly1"
5,"Macromolecule localization "," nup62l  ipo7  tsg101a  zgc:123278  pmpcb"
5,"Developmental growth "," akap12b  atg5  slit3  mgat5  wnt5b"
4,"Immune system development "," myct1a  clocka  slc25a38b  wnt5b"
4,"Protein folding "," DNAJA4  si:ch211-274f20.2  ppid  tbcc"
4,"Taxis "," top2b  pls3  atp1a2a  tmem41b"
4,"Anatomical structure formation involved in morphogenesis "," top2b  wnk1b  wnt5b  fgf8a"
3,"Reproduction "," diaph2  lhcgr  cyp17a1"
3,"Reproductive process "," diaph2  lhcgr  cyp17a1"
3,"Regulation of immune system process "," kita  C3"
3,"Immune response "," kita  C3"
3,"Response to endogenous stimulus "," fgf16  nup62l  fgf8a"
2,"Behavior "," cib2  slc26a2"
2,"Multi-organism process "," diaph2  lhcgr"
2,"Immune effector process "," C3"
2,"Activation of immune response "," C3"
2,"Myeloid cell homeostasis "," piezo1  slc25a38b"
2,"Developmental process involved in reproduction "," lhcgr  cyp17a1"
2,"Cell growth "," slit3  wnt5b"
2,"Sexual reproduction "," diaph2  lhcgr"
2,"Multicellular organism reproduction "," diaph2  lhcgr"
2,"Regulation of localization "," wnt5b  fgf8a"
2,"Regulation of growth "," atg5  slit3"
2,"Pigmentation "," cx39.4  prickle2b"
2,"Multi-organism reproductive process "," diaph2  lhcgr"
2,"Multicellular organismal reproductive process "," diaph2  lhcgr"
1,"Rhythmic process "," clocka"
1,"Autophagy "," atg5"
1,"Neurotransmitter secretion "," syt1b"
1,"Circadian rhythm "," clocka"
1,"Locomotory behavior "," slc26a2"
1,"Cell population proliferation "," fgf16"
1,"Cell cycle process "," diaph2"
1,"Methylation "," tfb2m"
1,"Regulation of locomotion "," fgf8a"
1,"Hormone metabolic process "," cyp17a1"
1,"Maintenance of location "," wnt5b"
1,"Detection of stimulus "," rhol"
1,"Regulation of molecular function "," sbf2"
